Blocks with IP
   2.00
11
10
   1.00
Type of measurement (0=app. resistivity,1=resistance)
0
530
1
1
Chargability
msec
0.10,1.00
3    26.0000,0.0     36.0000,0.0     38.0000,0.0     102.6535     8.5019
3    28.0000,0.0     38.0000,0.0     40.0000,0.0     110.7950    10.5605
3    30.0000,0.0     40.0000,0.0     42.0000,0.0     132.9388    11.7170
3    32.0000,0.0     42.0000,0.0     44.0000,0.0     162.9718     1.8302
3    34.0000,0.0     44.0000,0.0     46.0000,0.0      22.5393    96.0125
3    36.0000,0.0     46.0000,0.0     48.0000,0.0     120.2898    17.2214
3    38.0000,0.0     48.0000,0.0     50.0000,0.0     105.3815    12.4909
3    40.0000,0.0     50.0000,0.0     52.0000,0.0     100.7643    10.6653
3    42.0000,0.0     52.0000,0.0     54.0000,0.0      99.5626    10.1732
3    44.0000,0.0     54.0000,0.0     56.0000,0.0     100.9353    11.0952
3    46.0000,0.0     56.0000,0.0     58.0000,0.0      78.0303    15.2388
3    48.0000,0.0     58.0000,0.0     60.0000,0.0      94.7577     4.3376
3    50.0000,0.0     60.0000,0.0     62.0000,0.0      98.5010     1.8862
3    52.0000,0.0     62.0000,0.0     64.0000,0.0      99.8384     1.0000
3     0.0000,0.0     12.0000,0.0     14.0000,0.0      34.9177   111.3979
3     2.0000,0.0     14.0000,0.0     16.0000,0.0      80.5201    40.2823
3     4.0000,0.0     16.0000,0.0     18.0000,0.0      93.3116    32.0691
3     6.0000,0.0     18.0000,0.0     20.0000,0.0      93.3627    30.2990
3     8.0000,0.0     20.0000,0.0     22.0000,0.0      91.2040    29.6255
3    10.0000,0.0     22.0000,0.0     24.0000,0.0      84.5204    30.0826
3    12.0000,0.0     24.0000,0.0     26.0000,0.0      68.4112    34.4784
3    14.0000,0.0     26.0000,0.0     28.0000,0.0      67.1098    32.5508
3    16.0000,0.0     28.0000,0.0     30.0000,0.0     113.4562    22.9423
3    18.0000,0.0     30.0000,0.0     32.0000,0.0     142.7288    19.6969
3    20.0000,0.0     32.0000,0.0     34.0000,0.0     164.1694    26.2670
3    22.0000,0.0     34.0000,0.0     36.0000,0.0     121.7714    19.0906
3    24.0000,0.0     36.0000,0.0     38.0000,0.0      93.7466     3.2524
3    26.0000,0.0     38.0000,0.0     40.0000,0.0      93.0078    -0.3113
3    28.0000,0.0     40.0000,0.0     42.0000,0.0     107.6517     3.0275
3    30.0000,0.0     42.0000,0.0     44.0000,0.0     150.3078     2.1094
3    32.0000,0.0     44.0000,0.0     46.0000,0.0      22.4021    98.1383
3    34.0000,0.0     46.0000,0.0     48.0000,0.0     131.3544    18.7761
3    36.0000,0.0     48.0000,0.0     50.0000,0.0     111.6426    13.1882
3    38.0000,0.0     50.0000,0.0     52.0000,0.0     103.8960    10.2790
3    40.0000,0.0     52.0000,0.0     54.0000,0.0     100.9164     8.9712
3    42.0000,0.0     54.0000,0.0     56.0000,0.0     100.0480     8.6691
3    44.0000,0.0     56.0000,0.0     58.0000,0.0     101.4907     9.4929
3    46.0000,0.0     58.0000,0.0     60.0000,0.0      81.1953    13.1503
3    48.0000,0.0     60.0000,0.0     62.0000,0.0      95.1229     4.2217
3    50.0000,0.0     62.0000,0.0     64.0000,0.0      98.5614     1.9539
3     0.0000,0.0     14.0000,0.0     16.0000,0.0      82.4527    36.7155
3     2.0000,0.0     16.0000,0.0     18.0000,0.0      94.7657    28.7262
3     4.0000,0.0     18.0000,0.0     20.0000,0.0      94.4517    26.8260
3     6.0000,0.0     20.0000,0.0     22.0000,0.0      92.4920    25.6532
3     8.0000,0.0     22.0000,0.0     24.0000,0.0      88.9501    24.5440
3    10.0000,0.0     24.0000,0.0     26.0000,0.0      80.8604    23.4932
3    12.0000,0.0     26.0000,0.0     28.0000,0.0      72.8913    30.3666
3    14.0000,0.0     28.0000,0.0     30.0000,0.0     102.0940    39.6399
3    16.0000,0.0     30.0000,0.0     32.0000,0.0     133.5818    27.8605
3    18.0000,0.0     32.0000,0.0     34.0000,0.0     156.0143    29.0529
3    20.0000,0.0     34.0000,0.0     36.0000,0.0     114.8826    18.6800
3    22.0000,0.0     36.0000,0.0     38.0000,0.0      89.3054     1.4374
3    24.0000,0.0     38.0000,0.0     40.0000,0.0      88.1013    -3.5915
3    26.0000,0.0     40.0000,0.0     42.0000,0.0      94.3831    -5.5263
3    28.0000,0.0     42.0000,0.0     44.0000,0.0     124.1359    -5.7045
3    30.0000,0.0     44.0000,0.0     46.0000,0.0      20.5154    97.9892
3    32.0000,0.0     46.0000,0.0     48.0000,0.0     131.0658    19.0177
3    34.0000,0.0     48.0000,0.0     50.0000,0.0     119.6097    14.7759
3    36.0000,0.0     50.0000,0.0     52.0000,0.0     109.2475    11.1250
3    38.0000,0.0     52.0000,0.0     54.0000,0.0     103.7014     8.8189
3    40.0000,0.0     54.0000,0.0     56.0000,0.0     101.2288     7.7697
3    42.0000,0.0     56.0000,0.0     58.0000,0.0     100.4743     7.5396
3    44.0000,0.0     58.0000,0.0     60.0000,0.0     101.9039     8.2449
3    46.0000,0.0     60.0000,0.0     62.0000,0.0      83.7013    11.5293
3    48.0000,0.0     62.0000,0.0     64.0000,0.0      95.5415     4.0687
3     0.0000,0.0     16.0000,0.0     18.0000,0.0      95.7655    25.9325
3     2.0000,0.0     18.0000,0.0     20.0000,0.0      95.0881    24.0091
3     4.0000,0.0     20.0000,0.0     22.0000,0.0      92.9237    22.6022
3     6.0000,0.0     22.0000,0.0     24.0000,0.0      89.5451    20.9947
3     8.0000,0.0     24.0000,0.0     26.0000,0.0      84.1733    18.6094
3    10.0000,0.0     26.0000,0.0     28.0000,0.0      84.8815    21.2453
3    12.0000,0.0     28.0000,0.0     30.0000,0.0     111.5685    37.2402
3    14.0000,0.0     30.0000,0.0     32.0000,0.0     120.5717    41.7522
3    16.0000,0.0     32.0000,0.0     34.0000,0.0     144.4911    35.6807
3    18.0000,0.0     34.0000,0.0     36.0000,0.0     108.2037    20.6283
3    20.0000,0.0     36.0000,0.0     38.0000,0.0      86.0473     1.7388
3    22.0000,0.0     38.0000,0.0     40.0000,0.0      85.9949    -3.9489
3    24.0000,0.0     40.0000,0.0     42.0000,0.0      91.5343    -7.2234
3    26.0000,0.0     42.0000,0.0     44.0000,0.0     111.7534   -12.0835
3    28.0000,0.0     44.0000,0.0     46.0000,0.0      17.2079    91.6420
3    30.0000,0.0     46.0000,0.0     48.0000,0.0     121.6937    17.0963
3    32.0000,0.0     48.0000,0.0     50.0000,0.0     117.7980    14.9188
3    34.0000,0.0     50.0000,0.0     52.0000,0.0     115.6773    12.5904
3    36.0000,0.0     52.0000,0.0     54.0000,0.0     108.4376     9.7214
3    38.0000,0.0     54.0000,0.0     56.0000,0.0     103.7523     7.7771
3    40.0000,0.0     56.0000,0.0     58.0000,0.0     101.5296     6.8721
3    42.0000,0.0     58.0000,0.0     60.0000,0.0     100.8358     6.6640
3    44.0000,0.0     60.0000,0.0     62.0000,0.0     102.2341     7.2533
3    46.0000,0.0     62.0000,0.0     64.0000,0.0      85.7564    10.2409
3     0.0000,0.0     18.0000,0.0     20.0000,0.0      95.5015    21.6361
3     2.0000,0.0     20.0000,0.0     22.0000,0.0      93.1327    20.1084
3     4.0000,0.0     22.0000,0.0     24.0000,0.0      89.6079    18.2333
3     6.0000,0.0     24.0000,0.0     26.0000,0.0      84.4597    15.4404
3     8.0000,0.0     26.0000,0.0     28.0000,0.0      88.3200    17.4548
3    10.0000,0.0     28.0000,0.0     30.0000,0.0     128.1730    29.4850
3    12.0000,0.0     30.0000,0.0     32.0000,0.0     130.4108    38.7300
3    14.0000,0.0     32.0000,0.0     34.0000,0.0     130.1863    47.2233
3    16.0000,0.0     34.0000,0.0     36.0000,0.0      99.8736    26.2558
3    18.0000,0.0     36.0000,0.0     38.0000,0.0      82.5936     4.1974
3    20.0000,0.0     38.0000,0.0     40.0000,0.0      84.3170    -2.6384
3    22.0000,0.0     40.0000,0.0     42.0000,0.0      90.5442    -6.6395
3    24.0000,0.0     42.0000,0.0     44.0000,0.0     109.5375   -12.5480
3    26.0000,0.0     44.0000,0.0     46.0000,0.0      15.7595    87.0935
3    28.0000,0.0     46.0000,0.0     48.0000,0.0     105.2550     9.4299
3    30.0000,0.0     48.0000,0.0     50.0000,0.0     109.0884    13.1163
3    32.0000,0.0     50.0000,0.0     52.0000,0.0     113.1619    12.5463
3    34.0000,0.0     52.0000,0.0     54.0000,0.0     113.8224    11.0474
3    36.0000,0.0     54.0000,0.0     56.0000,0.0     108.0074     8.6947
3    38.0000,0.0     56.0000,0.0     58.0000,0.0     103.8412     6.9908
3    40.0000,0.0     58.0000,0.0     60.0000,0.0     101.7940     6.1755
3    42.0000,0.0     60.0000,0.0     62.0000,0.0     101.1530     5.9685
3    44.0000,0.0     62.0000,0.0     64.0000,0.0     102.5295     6.4529
3     0.0000,0.0     20.0000,0.0     22.0000,0.0      93.2464    18.0033
3     2.0000,0.0     22.0000,0.0     24.0000,0.0      89.5862    15.9687
3     4.0000,0.0     24.0000,0.0     26.0000,0.0      84.4253    12.9680
3     6.0000,0.0     26.0000,0.0     28.0000,0.0      89.1094    15.1224
3     8.0000,0.0     28.0000,0.0     30.0000,0.0     132.9862    26.4280
3    10.0000,0.0     30.0000,0.0     32.0000,0.0     147.4302    31.3531
3    12.0000,0.0     32.0000,0.0     34.0000,0.0     139.3114    43.6663
3    14.0000,0.0     34.0000,0.0     36.0000,0.0      90.3069    36.1750
3    16.0000,0.0     36.0000,0.0     38.0000,0.0      77.8106     9.8515
3    18.0000,0.0     38.0000,0.0     40.0000,0.0      82.0935     0.4203
3    20.0000,0.0     40.0000,0.0     42.0000,0.0      89.5473    -4.7758
3    22.0000,0.0     42.0000,0.0     44.0000,0.0     108.8089   -11.2546
3    24.0000,0.0     44.0000,0.0     46.0000,0.0      15.5486    87.1021
3    26.0000,0.0     46.0000,0.0     48.0000,0.0      98.8968     4.3717
3    28.0000,0.0     48.0000,0.0     50.0000,0.0      95.3467     6.4381
3    30.0000,0.0     50.0000,0.0     52.0000,0.0     104.9499    10.7733
3    32.0000,0.0     52.0000,0.0     54.0000,0.0     110.8963    10.8386
3    34.0000,0.0     54.0000,0.0     56.0000,0.0     112.6036     9.8901
3    36.0000,0.0     56.0000,0.0     58.0000,0.0     107.7014     7.9025
3    38.0000,0.0     58.0000,0.0     60.0000,0.0     103.9275     6.3731
3    40.0000,0.0     60.0000,0.0     62.0000,0.0     102.0314     5.6191
3    42.0000,0.0     62.0000,0.0     64.0000,0.0     101.4521     5.4052
3     4.0000,0.0      2.0000,0.0      0.0000,0.0      99.4160     1.3102
3     6.0000,0.0      4.0000,0.0      2.0000,0.0      97.7384     2.9332
3     8.0000,0.0      6.0000,0.0      4.0000,0.0      92.1042     8.4560
3    10.0000,0.0      8.0000,0.0      6.0000,0.0      66.8344    39.6320
3    12.0000,0.0     10.0000,0.0      8.0000,0.0      47.9905    65.6446
3    14.0000,0.0     12.0000,0.0     10.0000,0.0      39.6560    79.6789
3    16.0000,0.0     14.0000,0.0     12.0000,0.0      69.4051    30.2297
3    18.0000,0.0     16.0000,0.0     14.0000,0.0     111.3311    -8.9034
3    20.0000,0.0     18.0000,0.0     16.0000,0.0     105.5026    -4.1394
3    22.0000,0.0     20.0000,0.0     18.0000,0.0     103.1322    -1.4742
3    24.0000,0.0     22.0000,0.0     20.0000,0.0     103.4889     0.0245
3    26.0000,0.0     24.0000,0.0     22.0000,0.0     107.6429     2.1880
3    28.0000,0.0     26.0000,0.0     24.0000,0.0     127.3548     9.0192
3    30.0000,0.0     28.0000,0.0     26.0000,0.0     192.3506    30.1836
3    32.0000,0.0     30.0000,0.0     28.0000,0.0     235.3052    38.1310
3    34.0000,0.0     32.0000,0.0     30.0000,0.0     162.9923    17.0735
3    36.0000,0.0     34.0000,0.0     32.0000,0.0     110.1620    -1.4059
3    38.0000,0.0     36.0000,0.0     34.0000,0.0      92.3193    -3.4923
3    40.0000,0.0     38.0000,0.0     36.0000,0.0      95.4734    -0.9099
3    42.0000,0.0     40.0000,0.0     38.0000,0.0      93.8341     2.1397
3    44.0000,0.0     42.0000,0.0     40.0000,0.0      48.3400    36.9031
3    46.0000,0.0     44.0000,0.0     42.0000,0.0      91.4362    27.7581
3    48.0000,0.0     46.0000,0.0     44.0000,0.0      18.8552    87.9936
3    50.0000,0.0     48.0000,0.0     46.0000,0.0     119.9301    -6.5648
3    52.0000,0.0     50.0000,0.0     48.0000,0.0     103.2361    -1.5449
3    54.0000,0.0     52.0000,0.0     50.0000,0.0     101.1482    -0.5039
3    56.0000,0.0     54.0000,0.0     52.0000,0.0     100.6597    -0.2154
3    58.0000,0.0     56.0000,0.0     54.0000,0.0     100.4950    -0.1093
3    60.0000,0.0     58.0000,0.0     56.0000,0.0     100.4164    -0.0622
3    62.0000,0.0     60.0000,0.0     58.0000,0.0     100.3388    -0.0387
3    64.0000,0.0     62.0000,0.0     60.0000,0.0     100.0339    -0.0256
3     6.0000,0.0      2.0000,0.0      0.0000,0.0      96.2799     4.9871
3     8.0000,0.0      4.0000,0.0      2.0000,0.0      88.9548    12.8938
3    10.0000,0.0      6.0000,0.0      4.0000,0.0      64.9035    47.2994
3    12.0000,0.0      8.0000,0.0      6.0000,0.0      55.2395    69.4201
3    14.0000,0.0     10.0000,0.0      8.0000,0.0      55.2663    69.6651
3    16.0000,0.0     12.0000,0.0     10.0000,0.0      33.4438   113.9599
