Mixed array ws
 1.0
 11
7
Type of measurement (0=app. resistivity,1=resistance)
 0
230
1
0
4      15.00 0.00      30.00 0.00      22.00 0.00      23.00 0.00     10.610
4      16.00 0.00      31.00 0.00      23.00 0.00      24.00 0.00     11.160
4      17.00 0.00      32.00 0.00      24.00 0.00      25.00 0.00     11.340
4      18.00 0.00      33.00 0.00      25.00 0.00      26.00 0.00     11.321
4      19.00 0.00      34.00 0.00      26.00 0.00      27.00 0.00     11.159
4       0.00 0.00      17.00 0.00       8.00 0.00       9.00 0.00     11.313
4       1.00 0.00      18.00 0.00       9.00 0.00      10.00 0.00     11.090
4       2.00 0.00      19.00 0.00      10.00 0.00      11.00 0.00     10.567
4       3.00 0.00      20.00 0.00      11.00 0.00      12.00 0.00     10.145
4       4.00 0.00      21.00 0.00      12.00 0.00      13.00 0.00      9.946
4       5.00 0.00      22.00 0.00      13.00 0.00      14.00 0.00      9.981
4       6.00 0.00      23.00 0.00      14.00 0.00      15.00 0.00     11.298
4       7.00 0.00      24.00 0.00      15.00 0.00      16.00 0.00     14.022
4       8.00 0.00      25.00 0.00      16.00 0.00      17.00 0.00     14.321
4       9.00 0.00      26.00 0.00      17.00 0.00      18.00 0.00     14.321
4      10.00 0.00      27.00 0.00      18.00 0.00      19.00 0.00     14.021
4      11.00 0.00      28.00 0.00      19.00 0.00      20.00 0.00     11.297
4      12.00 0.00      29.00 0.00      20.00 0.00      21.00 0.00      9.983
4      13.00 0.00      30.00 0.00      21.00 0.00      22.00 0.00      9.950
4      14.00 0.00      31.00 0.00      22.00 0.00      23.00 0.00     10.150
4      15.00 0.00      32.00 0.00      23.00 0.00      24.00 0.00     10.573
4      16.00 0.00      33.00 0.00      24.00 0.00      25.00 0.00     11.098
4      17.00 0.00      34.00 0.00      25.00 0.00      26.00 0.00     11.323
0
0
0
0
0
