Time lapse data - general array format
   1.00
11
0
Type of measurements (0=app.resistivity,1=resistance)
0
368
1
0
Time sequence data
Number of time sections
3
Time unit
Hours
Second time section interval
1.0
Second time section interval
2.0
4      25.00 0.00      32.00 0.00      28.00 0.00      29.00 0.00     10.103  10.625  11.543
4      26.00 0.00      33.00 0.00      29.00 0.00      30.00 0.00     10.093  10.576  11.075
4      27.00 0.00      34.00 0.00      30.00 0.00      31.00 0.00     10.086  10.420  10.771
4      28.00 0.00      35.00 0.00      31.00 0.00      32.00 0.00     10.081  10.243  10.498
4      29.00 0.00      36.00 0.00      32.00 0.00      33.00 0.00     10.077  10.153  10.277
4      30.00 0.00      37.00 0.00      33.00 0.00      34.00 0.00     10.074  10.112  10.169
4      31.00 0.00      38.00 0.00      34.00 0.00      35.00 0.00     10.071  10.091  10.120
4      32.00 0.00      39.00 0.00      35.00 0.00      36.00 0.00     10.068  10.080  10.095
4      33.00 0.00      40.00 0.00      36.00 0.00      37.00 0.00     10.064  10.071  10.080
4       0.00 0.00       9.00 0.00       4.00 0.00       5.00 0.00     25.575  25.577  25.578
4       1.00 0.00      10.00 0.00       5.00 0.00       6.00 0.00     25.510  25.511  25.513
4       2.00 0.00      11.00 0.00       6.00 0.00       7.00 0.00     25.417  25.419  25.421
4       3.00 0.00      12.00 0.00       7.00 0.00       8.00 0.00     25.288  25.291  25.293
4       4.00 0.00      13.00 0.00       8.00 0.00       9.00 0.00     25.103  25.106  25.109
4       5.00 0.00      14.00 0.00       9.00 0.00      10.00 0.00     24.825  24.829  24.833
4       6.00 0.00      15.00 0.00      10.00 0.00      11.00 0.00     24.387  24.393  24.398
4       7.00 0.00      16.00 0.00      11.00 0.00      12.00 0.00     23.658  23.665  23.672
4       8.00 0.00      17.00 0.00      12.00 0.00      13.00 0.00     22.532  22.541  22.551
4       9.00 0.00      18.00 0.00      13.00 0.00      14.00 0.00     21.594  21.606  21.619
4      10.00 0.00      19.00 0.00      14.00 0.00      15.00 0.00     21.138  21.153  21.170
4      11.00 0.00      20.00 0.00      15.00 0.00      16.00 0.00     20.959  20.980  21.006
4      12.00 0.00      21.00 0.00      16.00 0.00      17.00 0.00     20.310  20.340  20.378
4      13.00 0.00      22.00 0.00      17.00 0.00      18.00 0.00     17.177  17.219  17.280
4      14.00 0.00      23.00 0.00      18.00 0.00      19.00 0.00     14.369  14.447  14.567
4      15.00 0.00      24.00 0.00      19.00 0.00      20.00 0.00     12.919  13.083  13.314
4      16.00 0.00      25.00 0.00      20.00 0.00      21.00 0.00     12.041  12.355  12.636
4      17.00 0.00      26.00 0.00      21.00 0.00      22.00 0.00     11.378  11.775  12.127
4      18.00 0.00      27.00 0.00      22.00 0.00      23.00 0.00     10.860  11.189  11.767
4      19.00 0.00      28.00 0.00      23.00 0.00      24.00 0.00     10.558  10.876  11.793
