Thick dike (pole-pole, pole-dipole, dipole-dipole)
   5.00
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
5477
1
0
3   245.0000,0.0    230.0000,0.0    215.0000,0.0     452.5765
3   250.0000,0.0    235.0000,0.0    220.0000,0.0     451.6444
3   255.0000,0.0    240.0000,0.0    225.0000,0.0     450.8593
3   260.0000,0.0    245.0000,0.0    230.0000,0.0     450.1898
3   265.0000,0.0    250.0000,0.0    235.0000,0.0     449.6102
3   270.0000,0.0    255.0000,0.0    240.0000,0.0     449.0978
3   275.0000,0.0    260.0000,0.0    245.0000,0.0     448.6307
3   280.0000,0.0    265.0000,0.0    250.0000,0.0     448.1829
3   285.0000,0.0    270.0000,0.0    255.0000,0.0     447.7152
3   290.0000,0.0    275.0000,0.0    260.0000,0.0     447.1454
3   295.0000,0.0    280.0000,0.0    265.0000,0.0     446.2012
3    25.0000,0.0      5.0000,0.0      0.0000,0.0     457.9081
3    30.0000,0.0     10.0000,0.0      5.0000,0.0     457.1187
3    35.0000,0.0     15.0000,0.0     10.0000,0.0     456.5177
3    40.0000,0.0     20.0000,0.0     15.0000,0.0     455.9689
3    45.0000,0.0     25.0000,0.0     20.0000,0.0     455.4138
3    50.0000,0.0     30.0000,0.0     25.0000,0.0     454.8188
3    55.0000,0.0     35.0000,0.0     30.0000,0.0     454.1576
3    60.0000,0.0     40.0000,0.0     35.0000,0.0     453.4054
3    65.0000,0.0     45.0000,0.0     40.0000,0.0     452.5350
3    70.0000,0.0     50.0000,0.0     45.0000,0.0     451.5139
3    75.0000,0.0     55.0000,0.0     50.0000,0.0     450.3012
3    80.0000,0.0     60.0000,0.0     55.0000,0.0     448.8444
3    85.0000,0.0     65.0000,0.0     60.0000,0.0     447.0734
3    90.0000,0.0     70.0000,0.0     65.0000,0.0     444.8933
3    95.0000,0.0     75.0000,0.0     70.0000,0.0     442.1719
3   100.0000,0.0     80.0000,0.0     75.0000,0.0     438.7198
3   105.0000,0.0     85.0000,0.0     80.0000,0.0     434.2583
3   110.0000,0.0     90.0000,0.0     85.0000,0.0     428.3639
3   115.0000,0.0     95.0000,0.0     90.0000,0.0     420.3729
3   120.0000,0.0    100.0000,0.0     95.0000,0.0     409.2146
3   125.0000,0.0    105.0000,0.0    100.0000,0.0     393.1326
3   130.0000,0.0    110.0000,0.0    105.0000,0.0     369.3439
3   135.0000,0.0    115.0000,0.0    110.0000,0.0     334.5011
3   140.0000,0.0    120.0000,0.0    115.0000,0.0     289.8280
3   145.0000,0.0    125.0000,0.0    120.0000,0.0     248.8935
3   150.0000,0.0    130.0000,0.0    125.0000,0.0     223.1321
3   155.0000,0.0    135.0000,0.0    130.0000,0.0     214.1055
3   160.0000,0.0    140.0000,0.0    135.0000,0.0     223.1909
3   165.0000,0.0    145.0000,0.0    140.0000,0.0     259.5726
3   170.0000,0.0    150.0000,0.0    145.0000,0.0     334.2607
3   175.0000,0.0    155.0000,0.0    150.0000,0.0     438.6220
3   180.0000,0.0    160.0000,0.0    155.0000,0.0     520.5916
3   185.0000,0.0    165.0000,0.0    160.0000,0.0     539.3395
3   190.0000,0.0    170.0000,0.0    165.0000,0.0     528.7097
3   195.0000,0.0    175.0000,0.0    170.0000,0.0     514.7717
3   200.0000,0.0    180.0000,0.0    175.0000,0.0     503.4750
3   205.0000,0.0    185.0000,0.0    180.0000,0.0     495.0082
3   210.0000,0.0    190.0000,0.0    185.0000,0.0     488.6869
3   215.0000,0.0    195.0000,0.0    190.0000,0.0     483.9019
3   220.0000,0.0    200.0000,0.0    195.0000,0.0     480.2170
3   225.0000,0.0    205.0000,0.0    200.0000,0.0     477.3319
3   230.0000,0.0    210.0000,0.0    205.0000,0.0     475.0388
3   235.0000,0.0    215.0000,0.0    210.0000,0.0     473.1915
3   240.0000,0.0    220.0000,0.0    215.0000,0.0     471.6854
3   245.0000,0.0    225.0000,0.0    220.0000,0.0     470.4436
3   250.0000,0.0    230.0000,0.0    225.0000,0.0     469.4088
3   255.0000,0.0    235.0000,0.0    230.0000,0.0     468.5370
3   260.0000,0.0    240.0000,0.0    235.0000,0.0     467.7934
3   265.0000,0.0    245.0000,0.0    240.0000,0.0     467.1497
3   270.0000,0.0    250.0000,0.0    245.0000,0.0     466.5809
3   275.0000,0.0    255.0000,0.0    250.0000,0.0     466.0628
3   280.0000,0.0    260.0000,0.0    255.0000,0.0     465.5674
3   285.0000,0.0    265.0000,0.0    260.0000,0.0     465.0531
3   290.0000,0.0    270.0000,0.0    265.0000,0.0     464.4367
3   295.0000,0.0    275.0000,0.0    270.0000,0.0     463.4727
3    30.0000,0.0     10.0000,0.0      0.0000,0.0     477.0015
3    35.0000,0.0     15.0000,0.0      5.0000,0.0     476.2430
3    40.0000,0.0     20.0000,0.0     10.0000,0.0     475.5775
3    45.0000,0.0     25.0000,0.0     15.0000,0.0     474.9198
3    50.0000,0.0     30.0000,0.0     20.0000,0.0     474.2236
3    55.0000,0.0     35.0000,0.0     25.0000,0.0     473.4558
3    60.0000,0.0     40.0000,0.0     30.0000,0.0     472.5867
3    65.0000,0.0     45.0000,0.0     35.0000,0.0     471.5844
3    70.0000,0.0     50.0000,0.0     40.0000,0.0     470.4117
3    75.0000,0.0     55.0000,0.0     45.0000,0.0     469.0224
3    80.0000,0.0     60.0000,0.0     50.0000,0.0     467.3570
3    85.0000,0.0     65.0000,0.0     55.0000,0.0     465.3374
3    90.0000,0.0     70.0000,0.0     60.0000,0.0     462.8577
3    95.0000,0.0     75.0000,0.0     65.0000,0.0     459.7713
3   100.0000,0.0     80.0000,0.0     70.0000,0.0     455.8701
3   105.0000,0.0     85.0000,0.0     75.0000,0.0     450.8496
3   110.0000,0.0     90.0000,0.0     80.0000,0.0     444.2512
3   115.0000,0.0     95.0000,0.0     85.0000,0.0     435.3628
3   120.0000,0.0    100.0000,0.0     90.0000,0.0     423.0482
3   125.0000,0.0    105.0000,0.0     95.0000,0.0     405.4690
3   130.0000,0.0    110.0000,0.0    100.0000,0.0     379.7722
3   135.0000,0.0    115.0000,0.0    105.0000,0.0     342.6702
3   140.0000,0.0    120.0000,0.0    110.0000,0.0     295.7934
3   145.0000,0.0    125.0000,0.0    115.0000,0.0     253.1896
3   150.0000,0.0    130.0000,0.0    120.0000,0.0     226.0629
3   155.0000,0.0    135.0000,0.0    125.0000,0.0     215.1552
3   160.0000,0.0    140.0000,0.0    130.0000,0.0     220.1486
3   165.0000,0.0    145.0000,0.0    135.0000,0.0     247.4289
3   170.0000,0.0    150.0000,0.0    140.0000,0.0     309.1126
3   175.0000,0.0    155.0000,0.0    145.0000,0.0     406.5772
3   180.0000,0.0    160.0000,0.0    150.0000,0.0     505.4849
3   185.0000,0.0    165.0000,0.0    155.0000,0.0     557.1547
3   190.0000,0.0    170.0000,0.0    160.0000,0.0     561.1927
3   195.0000,0.0    175.0000,0.0    165.0000,0.0     548.3751
3   200.0000,0.0    180.0000,0.0    170.0000,0.0     535.0088
3   205.0000,0.0    185.0000,0.0    175.0000,0.0     524.3856
3   210.0000,0.0    190.0000,0.0    180.0000,0.0     516.3378
3   215.0000,0.0    195.0000,0.0    185.0000,0.0     510.2311
3   220.0000,0.0    200.0000,0.0    190.0000,0.0     505.5341
3   225.0000,0.0    205.0000,0.0    195.0000,0.0     501.8644
3   230.0000,0.0    210.0000,0.0    200.0000,0.0     498.9546
3   235.0000,0.0    215.0000,0.0    205.0000,0.0     496.6158
3   240.0000,0.0    220.0000,0.0    210.0000,0.0     494.7128
3   245.0000,0.0    225.0000,0.0    215.0000,0.0     493.1470
3   250.0000,0.0    230.0000,0.0    220.0000,0.0     491.8448
3   255.0000,0.0    235.0000,0.0    225.0000,0.0     490.7498
3   260.0000,0.0    240.0000,0.0    230.0000,0.0     489.8184
3   265.0000,0.0    245.0000,0.0    235.0000,0.0     489.0147
3   270.0000,0.0    250.0000,0.0    240.0000,0.0     488.3083
3   275.0000,0.0    255.0000,0.0    245.0000,0.0     487.6701
3   280.0000,0.0    260.0000,0.0    250.0000,0.0     487.0682
3   285.0000,0.0    265.0000,0.0    255.0000,0.0     486.4578
3   290.0000,0.0    270.0000,0.0    260.0000,0.0     485.7549
3   295.0000,0.0    275.0000,0.0    265.0000,0.0     484.7309
3    40.0000,0.0     20.0000,0.0      0.0000,0.0     505.3097
3    45.0000,0.0     25.0000,0.0      5.0000,0.0     504.4330
3    50.0000,0.0     30.0000,0.0     10.0000,0.0     503.5360
3    55.0000,0.0     35.0000,0.0     15.0000,0.0     502.5662
3    60.0000,0.0     40.0000,0.0     20.0000,0.0     501.4816
3    65.0000,0.0     45.0000,0.0     25.0000,0.0     500.2410
3    70.0000,0.0     50.0000,0.0     30.0000,0.0     498.7984
3    75.0000,0.0     55.0000,0.0     35.0000,0.0     497.0981
3    80.0000,0.0     60.0000,0.0     40.0000,0.0     495.0695
3    85.0000,0.0     65.0000,0.0     45.0000,0.0     492.6211
3    90.0000,0.0     70.0000,0.0     50.0000,0.0     489.6299
3    95.0000,0.0     75.0000,0.0     55.0000,0.0     485.9278
3   100.0000,0.0     80.0000,0.0     60.0000,0.0     481.2784
3   105.0000,0.0     85.0000,0.0     65.0000,0.0     475.3404
3   110.0000,0.0     90.0000,0.0     70.0000,0.0     467.6073
3   115.0000,0.0     95.0000,0.0     75.0000,0.0     457.3045
3   120.0000,0.0    100.0000,0.0     80.0000,0.0     443.2186
3   125.0000,0.0    105.0000,0.0     85.0000,0.0     423.4299
3   130.0000,0.0    110.0000,0.0     90.0000,0.0     395.0551
3   135.0000,0.0    115.0000,0.0     95.0000,0.0     355.0089
3   140.0000,0.0    120.0000,0.0    100.0000,0.0     305.6069
3   145.0000,0.0    125.0000,0.0    105.0000,0.0     261.5247
3   150.0000,0.0    130.0000,0.0    110.0000,0.0     233.5737
3   155.0000,0.0    135.0000,0.0    115.0000,0.0     221.4798
3   160.0000,0.0    140.0000,0.0    120.0000,0.0     223.1551
3   165.0000,0.0    145.0000,0.0    125.0000,0.0     241.7486
3   170.0000,0.0    150.0000,0.0    130.0000,0.0     286.2000
3   175.0000,0.0    155.0000,0.0    135.0000,0.0     361.6848
3   180.0000,0.0    160.0000,0.0    140.0000,0.0     452.3149
3   185.0000,0.0    165.0000,0.0    145.0000,0.0     528.1575
3   190.0000,0.0    170.0000,0.0    150.0000,0.0     575.4034
3   195.0000,0.0    175.0000,0.0    155.0000,0.0     592.2498
3   200.0000,0.0    180.0000,0.0    160.0000,0.0     587.0506
3   205.0000,0.0    185.0000,0.0    165.0000,0.0     575.0156
3   210.0000,0.0    190.0000,0.0    170.0000,0.0     563.7732
3   215.0000,0.0    195.0000,0.0    175.0000,0.0     554.7636
3   220.0000,0.0    200.0000,0.0    180.0000,0.0     547.7441
3   225.0000,0.0    205.0000,0.0    185.0000,0.0     542.2568
3   230.0000,0.0    210.0000,0.0    190.0000,0.0     537.9189
3   235.0000,0.0    215.0000,0.0    195.0000,0.0     534.4466
3   240.0000,0.0    220.0000,0.0    200.0000,0.0     531.6335
3   245.0000,0.0    225.0000,0.0    205.0000,0.0     529.3286
3   250.0000,0.0    230.0000,0.0    210.0000,0.0     527.4195
3   255.0000,0.0    235.0000,0.0    215.0000,0.0     525.8215
3   260.0000,0.0    240.0000,0.0    220.0000,0.0     524.4688
3   265.0000,0.0    245.0000,0.0    225.0000,0.0     523.3090
3   270.0000,0.0    250.0000,0.0    230.0000,0.0     522.2985
3   275.0000,0.0    255.0000,0.0    235.0000,0.0     521.3978
3   280.0000,0.0    260.0000,0.0    240.0000,0.0     520.5665
3   285.0000,0.0    265.0000,0.0    245.0000,0.0     519.7537
3   290.0000,0.0    270.0000,0.0    250.0000,0.0     518.8730
3   295.0000,0.0    275.0000,0.0    255.0000,0.0     517.7159
3    30.0000,0.0      5.0000,0.0      0.0000,0.0     506.8256
3    35.0000,0.0     10.0000,0.0      5.0000,0.0     505.8308
3    40.0000,0.0     15.0000,0.0     10.0000,0.0     504.9906
3    45.0000,0.0     20.0000,0.0     15.0000,0.0     504.1788
3    50.0000,0.0     25.0000,0.0     20.0000,0.0     503.3308
3    55.0000,0.0     30.0000,0.0     25.0000,0.0     502.4033
3    60.0000,0.0     35.0000,0.0     30.0000,0.0     501.3587
3    65.0000,0.0     40.0000,0.0     35.0000,0.0     500.1586
3    70.0000,0.0     45.0000,0.0     40.0000,0.0     498.7585
3    75.0000,0.0     50.0000,0.0     45.0000,0.0     497.1042
3    80.0000,0.0     55.0000,0.0     50.0000,0.0     495.1261
3    85.0000,0.0     60.0000,0.0     55.0000,0.0     492.7335
3    90.0000,0.0     65.0000,0.0     60.0000,0.0     489.8042
3    95.0000,0.0     70.0000,0.0     65.0000,0.0     486.1705
3   100.0000,0.0     75.0000,0.0     70.0000,0.0     481.5956
3   105.0000,0.0     80.0000,0.0     75.0000,0.0     475.7366
3   110.0000,0.0     85.0000,0.0     80.0000,0.0     468.0822
3   115.0000,0.0     90.0000,0.0     85.0000,0.0     457.8477
3   120.0000,0.0     95.0000,0.0     90.0000,0.0     443.7984
3   125.0000,0.0    100.0000,0.0     95.0000,0.0     423.9736
3   130.0000,0.0    105.0000,0.0    100.0000,0.0     395.4146
3   135.0000,0.0    110.0000,0.0    105.0000,0.0     354.9238
3   140.0000,0.0    115.0000,0.0    110.0000,0.0     304.7415
3   145.0000,0.0    120.0000,0.0    115.0000,0.0     259.6339
3   150.0000,0.0    125.0000,0.0    120.0000,0.0     230.4592
3   155.0000,0.0    130.0000,0.0    125.0000,0.0     216.7298
3   160.0000,0.0    135.0000,0.0    130.0000,0.0     215.5852
3   165.0000,0.0    140.0000,0.0    135.0000,0.0     229.2134
3   170.0000,0.0    145.0000,0.0    140.0000,0.0     271.3905
3   175.0000,0.0    150.0000,0.0    145.0000,0.0     358.5100
3   180.0000,0.0    155.0000,0.0    150.0000,0.0     482.8250
3   185.0000,0.0    160.0000,0.0    155.0000,0.0     583.8774
3   190.0000,0.0    165.0000,0.0    160.0000,0.0     609.9173
3   195.0000,0.0    170.0000,0.0    165.0000,0.0     598.7802
3   200.0000,0.0    175.0000,0.0    170.0000,0.0     582.3093
3   205.0000,0.0    180.0000,0.0    175.0000,0.0     568.4517
3   210.0000,0.0    185.0000,0.0    180.0000,0.0     557.8141
3   215.0000,0.0    190.0000,0.0    185.0000,0.0     549.7251
3   220.0000,0.0    195.0000,0.0    190.0000,0.0     543.5096
3   225.0000,0.0    200.0000,0.0    195.0000,0.0     538.6633
3   230.0000,0.0    205.0000,0.0    200.0000,0.0     534.8283
3   235.0000,0.0    210.0000,0.0    205.0000,0.0     531.7522
3   240.0000,0.0    215.0000,0.0    210.0000,0.0     529.2541
3   245.0000,0.0    220.0000,0.0    215.0000,0.0     527.2021
3   250.0000,0.0    225.0000,0.0    220.0000,0.0     525.4987
3   255.0000,0.0    230.0000,0.0    225.0000,0.0     524.0691
3   260.0000,0.0    235.0000,0.0    230.0000,0.0     522.8558
3   265.0000,0.0    240.0000,0.0    235.0000,0.0     521.8123
3   270.0000,0.0    245.0000,0.0    240.0000,0.0     520.8994
3   275.0000,0.0    250.0000,0.0    245.0000,0.0     520.0811
3   280.0000,0.0    255.0000,0.0    250.0000,0.0     519.3194
3   285.0000,0.0    260.0000,0.0    255.0000,0.0     518.5648
3   290.0000,0.0    265.0000,0.0    260.0000,0.0     517.7321
3   295.0000,0.0    270.0000,0.0    265.0000,0.0     516.6182
3    35.0000,0.0      5.0000,0.0      0.0000,0.0     549.7471
3    40.0000,0.0     10.0000,0.0      5.0000,0.0     548.5024
3    45.0000,0.0     15.0000,0.0     10.0000,0.0     547.3665
3    50.0000,0.0     20.0000,0.0     15.0000,0.0     546.2203
3    55.0000,0.0     25.0000,0.0     20.0000,0.0     544.9918
3    60.0000,0.0     30.0000,0.0     25.0000,0.0     543.6259
3    65.0000,0.0     35.0000,0.0     30.0000,0.0     542.0703
3    70.0000,0.0     40.0000,0.0     35.0000,0.0     540.2675
3    75.0000,0.0     45.0000,0.0     40.0000,0.0     538.1491
3    80.0000,0.0     50.0000,0.0     45.0000,0.0     535.6295
3    85.0000,0.0     55.0000,0.0     50.0000,0.0     532.5978
3    90.0000,0.0     60.0000,0.0     55.0000,0.0     528.9070
3    95.0000,0.0     65.0000,0.0     60.0000,0.0     524.3572
3   100.0000,0.0     70.0000,0.0     65.0000,0.0     518.6707
3   105.0000,0.0     75.0000,0.0     70.0000,0.0     511.4510
3   110.0000,0.0     80.0000,0.0     75.0000,0.0     502.1175
3   115.0000,0.0     85.0000,0.0     80.0000,0.0     489.7969
3   120.0000,0.0     90.0000,0.0     85.0000,0.0     473.1474
3   125.0000,0.0     95.0000,0.0     90.0000,0.0     450.1010
3   130.0000,0.0    100.0000,0.0     95.0000,0.0     417.6798
3   135.0000,0.0    105.0000,0.0    100.0000,0.0     373.0249
3   140.0000,0.0    110.0000,0.0    105.0000,0.0     319.4263
3   145.0000,0.0    115.0000,0.0    110.0000,0.0     272.5690
3   150.0000,0.0    120.0000,0.0    115.0000,0.0     242.7419
3   155.0000,0.0    125.0000,0.0    120.0000,0.0     228.0629
3   160.0000,0.0    130.0000,0.0    125.0000,0.0     223.3615
3   165.0000,0.0    135.0000,0.0    130.0000,0.0     226.0662
3   170.0000,0.0    140.0000,0.0    135.0000,0.0     240.8385
3   175.0000,0.0    145.0000,0.0    140.0000,0.0     285.3669
3   180.0000,0.0    150.0000,0.0    145.0000,0.0     381.1687
3   185.0000,0.0    155.0000,0.0    150.0000,0.0     521.8859
3   190.0000,0.0    160.0000,0.0    155.0000,0.0     639.9615
3   195.0000,0.0    165.0000,0.0    160.0000,0.0     673.3289
3   200.0000,0.0    170.0000,0.0    165.0000,0.0     662.4093
3   205.0000,0.0    175.0000,0.0    170.0000,0.0     644.0164
3   210.0000,0.0    180.0000,0.0    175.0000,0.0     627.9933
3   215.0000,0.0    185.0000,0.0    180.0000,0.0     615.4218
3   220.0000,0.0    190.0000,0.0    185.0000,0.0     605.7014
3   225.0000,0.0    195.0000,0.0    190.0000,0.0     598.1308
3   230.0000,0.0    200.0000,0.0    195.0000,0.0     592.1606
3   235.0000,0.0    205.0000,0.0    200.0000,0.0     587.3910
3   240.0000,0.0    210.0000,0.0    205.0000,0.0     583.5332
3   245.0000,0.0    215.0000,0.0    210.0000,0.0     580.3770
3   250.0000,0.0    220.0000,0.0    215.0000,0.0     577.7667
3   255.0000,0.0    225.0000,0.0    220.0000,0.0     575.5851
3   260.0000,0.0    230.0000,0.0    225.0000,0.0     573.7420
3   265.0000,0.0    235.0000,0.0    230.0000,0.0     572.1660
3   270.0000,0.0    240.0000,0.0    235.0000,0.0     570.7983
3   275.0000,0.0    245.0000,0.0    240.0000,0.0     569.5876
3   280.0000,0.0    250.0000,0.0    245.0000,0.0     568.4833
3   285.0000,0.0    255.0000,0.0    250.0000,0.0     567.4267
3   290.0000,0.0    260.0000,0.0    255.0000,0.0     566.3297
3   295.0000,0.0    265.0000,0.0    260.0000,0.0     565.0159
3    50.0000,0.0     25.0000,0.0      0.0000,0.0     558.9932
3    55.0000,0.0     30.0000,0.0      5.0000,0.0     557.5732
3    60.0000,0.0     35.0000,0.0     10.0000,0.0     556.0236
3    65.0000,0.0     40.0000,0.0     15.0000,0.0     554.2792
3    70.0000,0.0     45.0000,0.0     20.0000,0.0     552.2740
3    75.0000,0.0     50.0000,0.0     25.0000,0.0     549.9321
3    80.0000,0.0     55.0000,0.0     30.0000,0.0     547.1606
3    85.0000,0.0     60.0000,0.0     35.0000,0.0     543.8416
3    90.0000,0.0     65.0000,0.0     40.0000,0.0     539.8197
3    95.0000,0.0     70.0000,0.0     45.0000,0.0     534.8858
3   100.0000,0.0     75.0000,0.0     50.0000,0.0     528.7515
3   105.0000,0.0     80.0000,0.0     55.0000,0.0     521.0092
3   110.0000,0.0     85.0000,0.0     60.0000,0.0     511.0671
3   115.0000,0.0     90.0000,0.0     65.0000,0.0     498.0447
3   120.0000,0.0     95.0000,0.0     70.0000,0.0     480.6036
3   125.0000,0.0    100.0000,0.0     75.0000,0.0     456.7072
3   130.0000,0.0    105.0000,0.0     80.0000,0.0     423.4735
3   135.0000,0.0    110.0000,0.0     85.0000,0.0     378.2620
3   140.0000,0.0    115.0000,0.0     90.0000,0.0     324.6669
3   145.0000,0.0    120.0000,0.0     95.0000,0.0     278.3864
3   150.0000,0.0    125.0000,0.0    100.0000,0.0     249.3965
3   155.0000,0.0    130.0000,0.0    105.0000,0.0     235.6070
3   160.0000,0.0    135.0000,0.0    110.0000,0.0     231.9745
3   165.0000,0.0    140.0000,0.0    115.0000,0.0     236.6488
3   170.0000,0.0    145.0000,0.0    120.0000,0.0     254.8741
3   175.0000,0.0    150.0000,0.0    125.0000,0.0     297.5577
3   180.0000,0.0    155.0000,0.0    130.0000,0.0     371.9498
3   185.0000,0.0    160.0000,0.0    135.0000,0.0     464.8635
3   190.0000,0.0    165.0000,0.0    140.0000,0.0     548.9512
3   195.0000,0.0    170.0000,0.0    145.0000,0.0     612.3091
3   200.0000,0.0    175.0000,0.0    150.0000,0.0     651.3941
3   205.0000,0.0    180.0000,0.0    155.0000,0.0     664.8287
3   210.0000,0.0    185.0000,0.0    160.0000,0.0     658.7008
3   215.0000,0.0    190.0000,0.0    165.0000,0.0     646.1286
3   220.0000,0.0    195.0000,0.0    170.0000,0.0     634.1647
3   225.0000,0.0    200.0000,0.0    175.0000,0.0     624.3051
3   230.0000,0.0    205.0000,0.0    180.0000,0.0     616.4143
3   235.0000,0.0    210.0000,0.0    185.0000,0.0     610.0972
3   240.0000,0.0    215.0000,0.0    190.0000,0.0     604.9984
3   245.0000,0.0    220.0000,0.0    195.0000,0.0     600.8417
3   250.0000,0.0    225.0000,0.0    200.0000,0.0     597.4182
3   255.0000,0.0    230.0000,0.0    205.0000,0.0     594.5696
3   260.0000,0.0    235.0000,0.0    210.0000,0.0     592.1746
3   265.0000,0.0    240.0000,0.0    215.0000,0.0     590.1379
3   270.0000,0.0    245.0000,0.0    220.0000,0.0     588.3826
3   275.0000,0.0    250.0000,0.0    225.0000,0.0     586.8431
3   280.0000,0.0    255.0000,0.0    230.0000,0.0     585.4583
3   285.0000,0.0    260.0000,0.0    235.0000,0.0     584.1616
3   290.0000,0.0    265.0000,0.0    240.0000,0.0     582.8604
3   295.0000,0.0    270.0000,0.0    245.0000,0.0     581.3792
3    40.0000,0.0     10.0000,0.0      0.0000,0.0     564.7740
3    45.0000,0.0     15.0000,0.0      5.0000,0.0     563.4595
3    50.0000,0.0     20.0000,0.0     10.0000,0.0     562.1608
3    55.0000,0.0     25.0000,0.0     15.0000,0.0     560.7869
3    60.0000,0.0     30.0000,0.0     20.0000,0.0     559.2713
3    65.0000,0.0     35.0000,0.0     25.0000,0.0     557.5542
3    70.0000,0.0     40.0000,0.0     30.0000,0.0     555.5718
3    75.0000,0.0     45.0000,0.0     35.0000,0.0     553.2493
3    80.0000,0.0     50.0000,0.0     40.0000,0.0     550.4944
3    85.0000,0.0     55.0000,0.0     45.0000,0.0     547.1884
3    90.0000,0.0     60.0000,0.0     50.0000,0.0     543.1743
3    95.0000,0.0     65.0000,0.0     55.0000,0.0     538.2406
3   100.0000,0.0     70.0000,0.0     60.0000,0.0     532.0947
3   105.0000,0.0     75.0000,0.0     65.0000,0.0     524.3219
3   110.0000,0.0     80.0000,0.0     70.0000,0.0     514.3193
3   115.0000,0.0     85.0000,0.0     75.0000,0.0     501.1878
3   120.0000,0.0     90.0000,0.0     80.0000,0.0     483.5595
3   125.0000,0.0     95.0000,0.0     85.0000,0.0     459.3517
3   130.0000,0.0    100.0000,0.0     90.0000,0.0     425.6211
3   135.0000,0.0    105.0000,0.0     95.0000,0.0     379.6863
3   140.0000,0.0    110.0000,0.0    100.0000,0.0     325.2338
3   145.0000,0.0    115.0000,0.0    105.0000,0.0     278.1950
3   150.0000,0.0    120.0000,0.0    110.0000,0.0     248.5953
3   155.0000,0.0    125.0000,0.0    115.0000,0.0     234.1289
3   160.0000,0.0    130.0000,0.0    120.0000,0.0     229.1680
3   165.0000,0.0    135.0000,0.0    125.0000,0.0     230.3880
3   170.0000,0.0    140.0000,0.0    130.0000,0.0     240.3748
3   175.0000,0.0    145.0000,0.0    135.0000,0.0     271.9000
3   180.0000,0.0    150.0000,0.0    140.0000,0.0     345.9750
3   185.0000,0.0    155.0000,0.0    145.0000,0.0     470.1631
3   190.0000,0.0    160.0000,0.0    150.0000,0.0     603.8248
3   195.0000,0.0    165.0000,0.0    155.0000,0.0     679.9992
3   200.0000,0.0    170.0000,0.0    160.0000,0.0     691.1341
3   205.0000,0.0    175.0000,0.0    165.0000,0.0     676.2755
3   210.0000,0.0    180.0000,0.0    170.0000,0.0     658.6440
3   215.0000,0.0    185.0000,0.0    175.0000,0.0     643.8286
3   220.0000,0.0    190.0000,0.0    180.0000,0.0     632.1643
3   225.0000,0.0    195.0000,0.0    185.0000,0.0     623.0414
3   230.0000,0.0    200.0000,0.0    190.0000,0.0     615.8475
3   235.0000,0.0    205.0000,0.0    195.0000,0.0     610.1083
3   240.0000,0.0    210.0000,0.0    200.0000,0.0     605.4749
3   245.0000,0.0    215.0000,0.0    205.0000,0.0     601.6917
3   250.0000,0.0    220.0000,0.0    210.0000,0.0     598.5691
3   255.0000,0.0    225.0000,0.0    215.0000,0.0     595.9648
3   260.0000,0.0    230.0000,0.0    220.0000,0.0     593.7697
3   265.0000,0.0    235.0000,0.0    225.0000,0.0     591.8976
3   270.0000,0.0    240.0000,0.0    230.0000,0.0     590.2789
3   275.0000,0.0    245.0000,0.0    235.0000,0.0     588.8531
3   280.0000,0.0    250.0000,0.0    240.0000,0.0     587.5632
3   285.0000,0.0    255.0000,0.0    245.0000,0.0     586.3453
3   290.0000,0.0    260.0000,0.0    250.0000,0.0     585.1094
3   295.0000,0.0    265.0000,0.0    255.0000,0.0     583.6860
3    45.0000,0.0     15.0000,0.0      0.0000,0.0     576.9653
3    50.0000,0.0     20.0000,0.0      5.0000,0.0     575.5080
3    55.0000,0.0     25.0000,0.0     10.0000,0.0     573.9888
3    60.0000,0.0     30.0000,0.0     15.0000,0.0     572.3286
3    65.0000,0.0     35.0000,0.0     20.0000,0.0     570.4584
3    70.0000,0.0     40.0000,0.0     25.0000,0.0     568.3082
3    75.0000,0.0     45.0000,0.0     30.0000,0.0     565.7974
3    80.0000,0.0     50.0000,0.0     35.0000,0.0     562.8271
3    85.0000,0.0     55.0000,0.0     40.0000,0.0     559.2719
3    90.0000,0.0     60.0000,0.0     45.0000,0.0     554.9667
3    95.0000,0.0     65.0000,0.0     50.0000,0.0     549.6900
3   100.0000,0.0     70.0000,0.0     55.0000,0.0     543.1374
3   105.0000,0.0     75.0000,0.0     60.0000,0.0     534.8798
3   110.0000,0.0     80.0000,0.0     65.0000,0.0     524.2977
3   115.0000,0.0     85.0000,0.0     70.0000,0.0     510.4743
3   120.0000,0.0     90.0000,0.0     75.0000,0.0     492.0268
3   125.0000,0.0     95.0000,0.0     80.0000,0.0     466.8719
3   130.0000,0.0    100.0000,0.0     85.0000,0.0     432.1133
3   135.0000,0.0    105.0000,0.0     90.0000,0.0     385.2362
3   140.0000,0.0    110.0000,0.0     95.0000,0.0     330.2497
3   145.0000,0.0    115.0000,0.0    100.0000,0.0     283.2359
3   150.0000,0.0    120.0000,0.0    105.0000,0.0     253.9661
3   155.0000,0.0    125.0000,0.0    110.0000,0.0     239.8140
3   160.0000,0.0    130.0000,0.0    115.0000,0.0     234.8469
3   165.0000,0.0    135.0000,0.0    120.0000,0.0     235.3828
3   170.0000,0.0    140.0000,0.0    125.0000,0.0     242.9601
3   175.0000,0.0    145.0000,0.0    130.0000,0.0     267.4317
3   180.0000,0.0    150.0000,0.0    135.0000,0.0     326.2216
