Thick dike (pole-pole, pole-dipole, dipole-dipole)
   5.00
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
5477
1
0
2   150.0000,0.0    165.0000,0.0     313.3150
2   155.0000,0.0    170.0000,0.0     349.8684
2   160.0000,0.0    175.0000,0.0     393.5013
2   165.0000,0.0    180.0000,0.0     431.0766
2   170.0000,0.0    185.0000,0.0     459.5033
2   175.0000,0.0    190.0000,0.0     480.7205
2   180.0000,0.0    195.0000,0.0     496.8753
2   185.0000,0.0    200.0000,0.0     509.4885
2   190.0000,0.0    205.0000,0.0     519.5680
2   195.0000,0.0    210.0000,0.0     527.7862
2   200.0000,0.0    215.0000,0.0     534.6026
2   205.0000,0.0    220.0000,0.0     540.3399
2   210.0000,0.0    225.0000,0.0     545.2309
2   215.0000,0.0    230.0000,0.0     549.4472
2   220.0000,0.0    235.0000,0.0     553.1180
2   225.0000,0.0    240.0000,0.0     556.3425
2   230.0000,0.0    245.0000,0.0     559.1972
2   235.0000,0.0    250.0000,0.0     561.7423
2   240.0000,0.0    255.0000,0.0     564.0251
2   245.0000,0.0    260.0000,0.0     566.0826
2   250.0000,0.0    265.0000,0.0     567.9438
2   255.0000,0.0    270.0000,0.0     569.6298
2   260.0000,0.0    275.0000,0.0     571.1542
2   265.0000,0.0    280.0000,0.0     572.5217
2   270.0000,0.0    285.0000,0.0     573.7219
2   275.0000,0.0    290.0000,0.0     574.7116
2   280.0000,0.0    295.0000,0.0     575.3312
2     0.0000,0.0     20.0000,0.0     631.1075
2     5.0000,0.0     25.0000,0.0     629.9971
2    10.0000,0.0     30.0000,0.0     628.5360
2    15.0000,0.0     35.0000,0.0     626.8314
2    20.0000,0.0     40.0000,0.0     624.9142
2    25.0000,0.0     45.0000,0.0     622.7870
2    30.0000,0.0     50.0000,0.0     620.4371
2    35.0000,0.0     55.0000,0.0     617.8413
2    40.0000,0.0     60.0000,0.0     614.9662
2    45.0000,0.0     65.0000,0.0     611.7684
2    50.0000,0.0     70.0000,0.0     608.1920
2    55.0000,0.0     75.0000,0.0     604.1660
2    60.0000,0.0     80.0000,0.0     599.6003
2    65.0000,0.0     85.0000,0.0     594.3792
2    70.0000,0.0     90.0000,0.0     588.3525
2    75.0000,0.0     95.0000,0.0     581.3230
2    80.0000,0.0    100.0000,0.0     573.0259
2    85.0000,0.0    105.0000,0.0     563.0996
