Time lapse data
   1.00
7
350
1
0
Time sequence data
Number of time sections
3
Time unit
Hours
Second time section interval
1.0
Third time section interval
1.0
     9.500      1.000      4.000     19.856     19.859     19.863
    10.500      1.000      4.000     19.517     19.521     19.526
    11.500      1.000      4.000     19.027     19.032     19.039
    12.500      1.000      4.000     18.398     18.405     18.413
    13.500      1.000      4.000     17.882     17.892     17.903
    14.500      1.000      4.000     17.534     17.547     17.563
    15.500      1.000      4.000     17.142     17.161     17.183
    16.500      1.000      4.000     16.247     16.274     16.309
    17.500      1.000      4.000     14.346     14.388     14.449
    18.500      1.000      4.000     12.869     12.950     13.074
    19.500      1.000      4.000     12.035     12.203     12.436
    20.500      1.000      4.000     11.470     11.787     12.071
    21.500      1.000      4.000     11.016     11.415     11.771
    22.500      1.000      4.000     10.658     10.989     11.571
    23.500      1.000      4.000     10.445     10.765     11.681
    24.500      1.000      4.000     10.322     11.014     12.138
    25.500      1.000      4.000     10.247     11.644     12.208
    26.500      1.000      4.000     10.199     11.593     12.155
    27.500      1.000      4.000     10.167     10.861     11.975
    28.500      1.000      4.000     10.145     10.475     11.392
    29.500      1.000      4.000     10.130     10.473     11.068
    30.500      1.000      4.000     10.119     10.533     10.904
    31.500      1.000      4.000     10.112     10.445     10.742
    32.500      1.000      4.000     10.108     10.290     10.539
    33.500      1.000      4.000     10.107     10.199     10.337
    34.500      1.000      4.000     10.108     10.157     10.226
    35.500      1.000      4.000     10.112     10.139     10.176
     5.500      1.000      5.000     22.805     22.807     22.810
     6.500      1.000      5.000     22.628     22.631     22.635
     7.500      1.000      5.000     22.399     22.403     22.408
     8.500      1.000      5.000     22.090     22.095     22.100
     9.500      1.000      5.000     21.658     21.665     21.672
    10.500      1.000      5.000     21.067     21.075     21.084
    11.500      1.000      5.000     20.353     20.364     20.375
    12.500      1.000      5.000     19.797     19.811     19.827
    13.500      1.000      5.000     19.460     19.479     19.500
    14.500      1.000      5.000     19.203     19.229     19.260
    15.500      1.000      5.000     18.800     18.837     18.884
    16.500      1.000      5.000     17.721     17.777     17.852
    17.500      1.000      5.000     15.417     15.508     15.634
    18.500      1.000      5.000     13.655     13.825     14.037
    19.500      1.000      5.000     12.689     12.986     13.220
    20.500      1.000      5.000     12.059     12.392     12.661
    21.500      1.000      5.000     11.576     11.788     12.174
    22.500      1.000      5.000     11.152     11.259     11.719
    23.500      1.000      5.000     10.788     10.963     11.724
    24.500      1.000      5.000     10.551     11.212     12.330
    25.500      1.000      5.000     10.406     11.941     12.453
    26.500      1.000      5.000     10.313     11.846     12.352
    27.500      1.000      5.000     10.252     10.921     12.018
    28.500      1.000      5.000     10.210     10.404     11.168
    29.500      1.000      5.000     10.181     10.307     10.790
    30.500      1.000      5.000     10.162     10.390     10.799
    31.500      1.000      5.000     10.149     10.500     10.787
    32.500      1.000      5.000     10.142     10.461     10.712
    33.500      1.000      5.000     10.140     10.330     10.565
    34.500      1.000      5.000     10.142     10.245     10.388
     6.500      1.000      6.000     24.455     24.461     24.466
     7.500      1.000      6.000     24.064     24.071     24.078
     8.500      1.000      6.000     23.545     23.554     23.563
     9.500      1.000      6.000     22.865     22.876     22.888
    10.500      1.000      6.000     22.084     22.098     22.113
    11.500      1.000      6.000     21.493     21.511     21.531
    12.500      1.000      6.000     21.147     21.171     21.198
    13.500      1.000      6.000     20.933     20.966     21.004
    14.500      1.000      6.000     20.731     20.778     20.835
    15.500      1.000      6.000     20.298     20.368     20.457
    16.500      1.000      6.000     19.041     19.148     19.287
    17.500      1.000      6.000     16.378     16.548     16.742
    18.500      1.000      6.000     14.362     14.630     14.823
    19.500      1.000      6.000     13.280     13.556     13.767
    20.500      1.000      6.000     12.595     12.733     13.013
    21.500      1.000      6.000     12.088     12.095     12.343
    22.500      1.000      6.000     11.665     11.631     11.892
    23.500      1.000      6.000     11.270     11.343     12.007
    24.500      1.000      6.000     10.909     11.551     12.689
    25.500      1.000      6.000     10.657     12.313     12.795
    26.500      1.000      6.000     10.494     12.148     12.618
    27.500      1.000      6.000     10.387     11.047     12.149
    28.500      1.000      6.000     10.315     10.421     11.092
    29.500      1.000      6.000     10.266     10.258     10.551
    30.500      1.000      6.000     10.232     10.255     10.532
    31.500      1.000      6.000     10.211     10.362     10.664
    32.500      1.000      6.000     10.199     10.497     10.725
    33.500      1.000      6.000     10.196     10.495     10.708
     7.500      1.000      7.000     25.230     25.241     25.252
     8.500      1.000      7.000     24.468     24.482     24.496
     9.500      1.000      7.000     23.627     23.645     23.663
    10.500      1.000      7.000     23.003     23.026     23.050
    11.500      1.000      7.000     22.639     22.668     22.700
    12.500      1.000      7.000     22.427     22.467     22.511
    13.500      1.000      7.000     22.291     22.347     22.413
    14.500      1.000      7.000     22.120     22.202     22.303
    15.500      1.000      7.000     21.645     21.770     21.922
    16.500      1.000      7.000     20.217     20.403     20.598
    17.500      1.000      7.000     17.232     17.479     17.641
    18.500      1.000      7.000     14.989     15.217     15.384
    19.500      1.000      7.000     13.802     13.892     14.105
    20.500      1.000      7.000     13.069     13.029     13.179
    21.500      1.000      7.000     12.543     12.434     12.508
    22.500      1.000      7.000     12.118     11.996     12.134
    23.500      1.000      7.000     11.742     11.743     12.351
    24.500      1.000      7.000     11.373     12.004     13.178
    25.500      1.000      7.000     11.019     12.790     13.260
    26.500      1.000      7.000     10.759     12.530     12.980
    27.500      1.000      7.000     10.585     11.250     12.372
    28.500      1.000      7.000     10.468     10.516     11.139
    29.500      1.000      7.000     10.388     10.298     10.478
    30.500      1.000      7.000     10.334     10.244     10.349
    31.500      1.000      7.000     10.300     10.268     10.440
    32.500      1.000      7.000     10.282     10.380     10.614
     8.500      1.000      8.000     25.038     25.059     25.080
     9.500      1.000      8.000     24.377     24.403     24.431
    10.500      1.000      8.000     23.985     24.019     24.056
    11.500      1.000      8.000     23.756     23.802     23.852
    12.500      1.000      8.000     23.627     23.691     23.765
    13.500      1.000      8.000     23.542     23.635     23.745
    14.500      1.000      8.000     23.386     23.524     23.686
    15.500      1.000      8.000     22.862     23.065     23.265
    16.500      1.000      8.000     21.270     21.522     21.673
    17.500      1.000      8.000     17.994     18.187     18.323
    18.500      1.000      8.000     15.546     15.602     15.768
    19.500      1.000      8.000     14.264     14.202     14.299
    20.500      1.000      8.000     13.486     13.355     13.360
    21.500      1.000      8.000     12.941     12.766     12.739
    22.500      1.000      8.000     12.515     12.333     12.395
    23.500      1.000      8.000     12.150     12.100     12.676
    24.500      1.000      8.000     11.811     12.437     13.651
    25.500      1.000      8.000     11.467     13.348     13.821
    26.500      1.000      8.000     11.124     13.018     13.460
    27.500      1.000      8.000     10.862     11.546     12.702
    28.500      1.000      8.000     10.682     10.691     11.295
    29.500      1.000      8.000     10.559     10.415     10.529
    30.500      1.000      8.000     10.477     10.321     10.329
    31.500      1.000      8.000     10.425     10.299     10.324
     9.500      1.000      9.000     25.238     25.276     25.317
    10.500      1.000      9.000     24.976     25.028     25.083
    11.500      1.000      9.000     24.827     24.898     24.977
    12.500      1.000      9.000     24.752     24.853     24.970
    13.500      1.000      9.000     24.700     24.848     25.017
    14.500      1.000      9.000     24.545     24.759     24.963
    15.500      1.000      9.000     23.966     24.227     24.376
    16.500      1.000      9.000     22.218     22.399     22.525
    17.500      1.000      9.000     18.677     18.708     18.840
    18.500      1.000      9.000     16.042     15.971     16.035
    19.500      1.000      9.000     14.672     14.539     14.517
    20.500      1.000      9.000     13.853     13.675     13.601
    21.500      1.000      9.000     13.290     13.075     12.985
