Blocks
  1.0
 2 
 414 
1
0
    4.50,    7.00,    9.98
    5.50,    7.00,    9.88
    6.50,    7.00,    9.62
    7.50,    7.00,    9.49
    8.50,    7.00,    9.46
    9.50,    7.00,    9.44
   10.50,    7.00,    9.44
   11.50,    7.00,    9.54
   12.50,    7.00,    9.75
   13.50,    7.00,    9.79
   14.50,    7.00,    9.60
   15.50,    7.00,    9.38
   16.50,    7.00,    9.13
   17.50,    7.00,    8.81
   18.50,    7.00,    8.47
   19.50,    7.00,    8.34
   20.50,    7.00,    8.45
   21.50,    7.00,    8.68
   22.50,    7.00,    9.01
   23.50,    7.00,    9.39
   24.50,    7.00,    9.71
   25.50,    7.00,    9.71
   26.50,    7.00,    9.38
   27.50,    7.00,    9.00
   28.50,    7.00,    8.67
   29.50,    7.00,    8.43
   30.50,    7.00,    8.31
   31.50,    7.00,    8.42
   32.50,    7.00,    8.75
   33.50,    7.00,    9.04
   34.50,    7.00,    9.23
   35.50,    7.00,    9.35
   36.50,    7.00,    9.42
    4.00,    8.00,    9.89
    5.00,    8.00,    9.79
    6.00,    8.00,    9.56
    7.00,    8.00,    9.45
    8.00,    8.00,    9.43
    9.00,    8.00,    9.42
   10.00,    8.00,    9.40
   11.00,    8.00,    9.38
   12.00,    8.00,    9.44
   13.00,    8.00,    9.61
   14.00,    8.00,    9.63
   15.00,    8.00,    9.42
   16.00,    8.00,    9.16
   17.00,    8.00,    8.85
   18.00,    8.00,    8.54
   19.00,    8.00,    8.44
   20.00,    8.00,    8.57
   21.00,    8.00,    8.80
   22.00,    8.00,    9.12
   23.00,    8.00,    9.50
   24.00,    8.00,    9.85
   25.00,    8.00,    9.98
   26.00,    8.00,    9.85
   27.00,    8.00,    9.49
   28.00,    8.00,    9.11
   29.00,    8.00,    8.78
   30.00,    8.00,    8.54
   31.00,    8.00,    8.40
   32.00,    8.00,    8.48
   33.00,    8.00,    8.76
   34.00,    8.00,    9.02
   35.00,    8.00,    9.19
   36.00,    8.00,    9.30
    4.50,    9.00,    9.72
    5.50,    9.00,    9.51
    6.50,    9.00,    9.42
    7.50,    9.00,    9.41
    8.50,    9.00,    9.40
    9.50,    9.00,    9.38
   10.50,    9.00,    9.35
   11.50,    9.00,    9.32
   12.50,    9.00,    9.35
   13.50,    9.00,    9.47
   14.50,    9.00,    9.45
   15.50,    9.00,    9.21
   16.50,    9.00,    8.89
   17.50,    9.00,    8.61
   18.50,    9.00,    8.53
   19.50,    9.00,    8.66
   20.50,    9.00,    8.90
   21.50,    9.00,    9.20
   22.50,    9.00,    9.57
   23.50,    9.00,    9.91
   24.50,    9.00,   10.06
   25.50,    9.00,   10.06
   26.50,    9.00,    9.90
   27.50,    9.00,    9.55
   28.50,    9.00,    9.18
   29.50,    9.00,    8.87
   30.50,    9.00,    8.62
   31.50,    9.00,    8.48
   32.50,    9.00,    8.52
   33.50,    9.00,    8.77
   34.50,    9.00,    9.00
   35.50,    9.00,    9.16
    5.00,   10.00,    9.47
    6.00,   10.00,    9.40
    7.00,   10.00,    9.39
    8.00,   10.00,    9.39
    9.00,   10.00,    9.37
   10.00,   10.00,    9.34
   11.00,   10.00,    9.29
   12.00,   10.00,    9.24
   13.00,   10.00,    9.24
   14.00,   10.00,    9.31
   15.00,   10.00,    9.24
   16.00,   10.00,    8.96
   17.00,   10.00,    8.68
   18.00,   10.00,    8.62
   19.00,   10.00,    8.74
   20.00,   10.00,    8.97
   21.00,   10.00,    9.26
   22.00,   10.00,    9.60
   23.00,   10.00,    9.92
   24.00,   10.00,   10.07
   25.00,   10.00,   10.10
   26.00,   10.00,   10.06
   27.00,   10.00,    9.90
   28.00,   10.00,    9.58
