Pole-dipole 4 boreholes test
1.0
12
1160
2
0
Surface Electrodes
16
0.0,  0.0
1.0,  0.0
2.0,  0.0
3.0,  0.0
4.0,  0.0
5.0,  0.0
6.0,  0.0
7.0,  0.0
8.0,  0.0
9.0,  0.0
10.0, 0.0
11.0, 0.0
12.0, 0.0
13.0, 0.0
14.0, 0.0
15.0, 0.0
Number of boreholes
4
Borehole 1 Electrodes
11
  4.0 1.0
  4.0 2.0
  4.0 3.0
  4.0 4.0
  4.0 5.0
  4.0 6.0
  4.0 7.0
  4.0 8.0
  4.0 9.0
  4.0 10.0
  4.0 11.0
Borehole 2 Electrodes
11
  5.0 1.0
  5.0 2.0
  5.0 3.0
  5.0 4.0
  5.0 5.0
  5.0 6.0
  5.0 7.0
  5.0 8.0
  5.0 9.0
  5.0 10.0
  5.0 11.0
Borehole 3 Electrodes
11
 10.0 1.0
 10.0 2.0
 10.0 3.0
 10.0 4.0
 10.0 5.0
 10.0 6.0
 10.0 7.0
 10.0 8.0
 10.0 9.0
 10.0 10.0
 10.0 11.0
Borehole 4 Electrodes
11
11.0 1.0
11.0 2.0
11.0 3.0
11.0 4.0
11.0 5.0
11.0 6.0
11.0 7.0
11.0 8.0
11.0 9.0
11.0 10.0
11.0 11.0
Error estimate for data present
Type of error estimate (0=same unit as data)
0
Measured Data
3   11.000    0.000   6.000    0.000    5.000    0.000  117.942293  0.956607
3   11.000    0.000   5.000    0.000    4.000    0.000  116.843100  1.331598
3   11.000    0.000   4.000    0.000    3.000    0.000  117.534715  1.081476
3   11.000    0.000   3.000    0.000    2.000    0.000  112.462745  1.154305
3   11.000    0.000   2.000    0.000    1.000    0.000  111.956268  1.151970
3   11.000    0.000   1.000    0.000    0.000    0.000  107.442098  0.981227
3   10.000    0.000   9.000    0.000    8.000    0.000  102.894103  1.170319
3   10.000    0.000   8.000    0.000    7.000    0.000  101.996561  0.816366
3   10.000    0.000   7.000    0.000    6.000    0.000  109.978109  1.370039
3   10.000    0.000   6.000    0.000    5.000    0.000  113.678781  0.781981
3   10.000    0.000   5.000    0.000    4.000    0.000  118.760871  1.607688
3   10.000    0.000   4.000    0.000    3.000    0.000  116.001923  0.667609
3   10.000    0.000   3.000    0.000    2.000    0.000  116.480588  1.702459
3   10.000    0.000   2.000    0.000    1.000    0.000  111.986393  0.519076
3   10.000    0.000   1.000    0.000    0.000    0.000  112.140820  1.759724
3    9.000    0.000   8.000    0.000    7.000    0.000  101.670749  0.768720
3    9.000    0.000   7.000    0.000    6.000    0.000  106.753193  1.789700
3    9.000    0.000   6.000    0.000    5.000    0.000  109.971569  0.707737
