BLOCKS POLE-DIPOLE
1.0
6
375
0
0
12.0,1,3,10.12
13.0,1,3,10.11
14.0,1,3,10.12
15.0,1,3,10.15
16.0,1,3,10.21
17.0,1,3,10.33
18.0,1,3,10.55
19.0,1,3,10.78
20.0,1,3,9.79
21.0,1,3,7.20
22.0,1,3,6.14
23.0,1,3,6.73
24.0,1,3,7.06
25.0,1,3,7.39
26.0,1,3,8.31
27.0,1,3,9.19
28.0,1,3,9.62
29.0,1,3,9.81
30.0,1,3,9.91
31.0,1,3,9.96
32.0,1,3,9.99
33.0,1,3,10.01
34.0,1,3,10.02
35.0,1,3,10.03
36.0,1,3,10.03
37.0,1,3,10.04
38.0,1,3,10.04
39.0,1,3,10.05
40.0,1,3,10.06
1.0 ,1,4,9.29
2.0 ,1,4,10.13
3.0 ,1,4,12.89
4.0 ,1,4,13.31
5.0 ,1,4,10.38
6.0 ,1,4,10.14
7.0 ,1,4,11.26
8.0 ,1,4,11.49
9.0 ,1,4,10.78
10.0,1,4,10.31
11.0,1,4,10.18
12.0,1,4,10.14
13.0,1,4,10.14
14.0,1,4,10.18
15.0,1,4,10.25
16.0,1,4,10.40
17.0,1,4,10.66
18.0,1,4,10.87
19.0,1,4,9.64
20.0,1,4,6.81
21.0,1,4,5.94
22.0,1,4,6.98
23.0,1,4,7.55
24.0,1,4,7.46
25.0,1,4,7.49
26.0,1,4,8.22
27.0,1,4,9.06
28.0,1,4,9.52
29.0,1,4,9.74
30.0,1,4,9.85
31.0,1,4,9.92
32.0,1,4,9.95
33.0,1,4,9.97
34.0,1,4,9.99
35.0,1,4,10.00
36.0,1,4,10.01
37.0,1,4,10.02
38.0,1,4,10.03
39.0,1,4,10.04
1.0 ,1,5,10.20
2.0 ,1,5,12.85
3.0 ,1,5,12.80
4.0 ,1,5,9.89
5.0 ,1,5,9.53
6.0 ,1,5,9.73
7.0 ,1,5,10.76
8.0 ,1,5,11.19
9.0 ,1,5,10.73
10.0,1,5,10.33
11.0,1,5,10.20
12.0,1,5,10.18
13.0,1,5,10.21
14.0,1,5,10.30
15.0,1,5,10.47
16.0,1,5,10.74
17.0,1,5,10.93
18.0,1,5,9.49
19.0,1,5,6.55
20.0,1,5,5.91
21.0,1,5,7.30
22.0,1,5,8.10
23.0,1,5,8.18
24.0,1,5,7.84
25.0,1,5,7.67
26.0,1,5,8.22
27.0,1,5,8.99
28.0,1,5,9.45
29.0,1,5,9.68
30.0,1,5,9.81
31.0,1,5,9.88
32.0,1,5,9.92
33.0,1,5,9.95
34.0,1,5,9.97
35.0,1,5,9.98
36.0,1,5,9.99
37.0,1,5,10.01
38.0,1,5,10.02
1.0 ,1,6,12.80
2.0 ,1,6,12.46
3.0 ,1,6,9.65
4.0 ,1,6,9.37
5.0 ,1,6,9.43
6.0 ,1,6,9.61
7.0 ,1,6,10.49
8.0 ,1,6,10.98
9.0 ,1,6,10.68
10.0,1,6,10.35
11.0,1,6,10.25
12.0,1,6,10.26
13.0,1,6,10.34
14.0,1,6,10.52
15.0,1,6,10.81
16.0,1,6,10.96
17.0,1,6,9.36
18.0,1,6,6.37
19.0,1,6,5.92
20.0,1,6,7.56
21.0,1,6,8.48
22.0,1,6,8.72
23.0,1,6,8.59
24.0,1,6,8.14
25.0,1,6,7.85
26.0,1,6,8.26
27.0,1,6,8.96
28.0,1,6,9.40
29.0,1,6,9.64
30.0,1,6,9.77
31.0,1,6,9.84
32.0,1,6,9.89
33.0,1,6,9.92
34.0,1,6,9.95
35.0,1,6,9.96
36.0,1,6,9.98
37.0,1,6,10.00
1.0 ,1,7,12.19
2.0 ,1,7,9.50
3.0 ,1,7,9.31
4.0 ,1,7,9.39
5.0 ,1,7,9.46
6.0 ,1,7,9.58
7.0 ,1,7,10.33
8.0 ,1,7,10.85
9.0 ,1,7,10.66
10.0,1,7,10.39
11.0,1,7,10.33
12.0,1,7,10.40
13.0,1,7,10.58
14.0,1,7,10.86
15.0,1,7,10.97
16.0,1,7,9.25
17.0,1,7,6.23
18.0,1,7,5.96
19.0,1,7,7.76
20.0,1,7,8.75
21.0,1,7,9.03
22.0,1,7,9.05
23.0,1,7,8.85
24.0,1,7,8.38
25.0,1,7,8.02
26.0,1,7,8.32
27.0,1,7,8.95
28.0,1,7,9.37
29.0,1,7,9.60
30.0,1,7,9.74
31.0,1,7,9.82
32.0,1,7,9.87
33.0,1,7,9.90
34.0,1,7,9.93
35.0,1,7,9.95
36.0,1,7,9.98
1.0 ,1,8,9.39
2.0 ,1,8,9.28
3.0 ,1,8,9.39
4.0 ,1,8,9.47
5.0 ,1,8,9.50
6.0 ,1,8,9.59
7.0 ,1,8,10.24
8.0 ,1,8,10.76
9.0 ,1,8,10.67
10.0,1,8,10.47
11.0,1,8,10.48
12.0,1,8,10.64
13.0,1,8,10.91
14.0,1,8,10.98
15.0,1,8,9.15
16.0,1,8,6.13
17.0,1,8,6.00
18.0,1,8,7.93
19.0,1,8,8.94
20.0,1,8,9.24
21.0,1,8,9.30
22.0,1,8,9.24
23.0,1,8,9.04
24.0,1,8,8.57
25.0,1,8,8.17
26.0,1,8,8.39
27.0,1,8,8.95
28.0,1,8,9.35
29.0,1,8,9.58
30.0,1,8,9.71
31.0,1,8,9.79
32.0,1,8,9.85
33.0,1,8,9.89
34.0,1,8,9.92
35.0,1,8,9.95
1.0 ,1,9,9.24
2.0 ,1,9,9.39
3.0 ,1,9,9.48
4.0 ,1,9,9.53
5.0 ,1,9,9.56
6.0 ,1,9,9.63
7.0 ,1,9,10.20
8.0 ,1,9,10.73
9.0 ,1,9,10.73
10.0,1,9,10.61
11.0,1,9,10.72
12.0,1,9,10.96
13.0,1,9,10.98
14.0,1,9,9.06
15.0,1,9,6.05
16.0,1,9,6.04
17.0,1,9,8.07
18.0,1,9,9.09
19.0,1,9,9.38
20.0,1,9,9.44
21.0,1,9,9.44
22.0,1,9,9.37
23.0,1,9,9.17
24.0,1,9,8.72
25.0,1,9,8.31
26.0,1,9,8.46
27.0,1,9,8.96
28.0,1,9,9.33
29.0,1,9,9.56
30.0,1,9,9.69
31.0,1,9,9.78
32.0,1,9,9.84
33.0,1,9,9.88
34.0,1,9,9.92
1.0 ,1,10,9.38
2.0 ,1,10,9.49
3.0 ,1,10,9.56
4.0 ,1,10,9.60
5.0 ,1,10,9.62
6.0 ,1,10,9.68
7.0 ,1,10,10.22
8.0 ,1,10,10.76
9.0 ,1,10,10.85
10.0,1,10,10.85
11.0,1,10,11.04
12.0,1,10,10.99
13.0,1,10,8.99
14.0,1,10,5.99
15.0,1,10,6.08
16.0,1,10,8.19
17.0,1,10,9.21
18.0,1,10,9.48
19.0,1,10,9.54
20.0,1,10,9.55
21.0,1,10,9.52
22.0,1,10,9.46
23.0,1,10,9.28
24.0,1,10,8.84
25.0,1,10,8.43
26.0,1,10,8.53
27.0,1,10,8.98
28.0,1,10,9.33
29.0,1,10,9.55
30.0,1,10,9.68
31.0,1,10,9.77
32.0,1,10,9.83
33.0,1,10,9.88
0
0
0
0
0
