Mixed array
 1.0
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
407
1
0
4      27.00 0.00      26.00 0.00      28.00 0.00      29.00 0.00      9.150
4      28.00 0.00      27.00 0.00      29.00 0.00      30.00 0.00     10.684
4      29.00 0.00      28.00 0.00      30.00 0.00      31.00 0.00     10.408
4      30.00 0.00      29.00 0.00      31.00 0.00      32.00 0.00     10.274
4      31.00 0.00      30.00 0.00      32.00 0.00      33.00 0.00     10.230
4      32.00 0.00      31.00 0.00      33.00 0.00      34.00 0.00     10.215
4       1.00 0.00       0.00 0.00       3.00 0.00       4.00 0.00      9.964
4       2.00 0.00       1.00 0.00       4.00 0.00       5.00 0.00      9.924
4       3.00 0.00       2.00 0.00       5.00 0.00       6.00 0.00      9.840
4       4.00 0.00       3.00 0.00       6.00 0.00       7.00 0.00      9.662
4       5.00 0.00       4.00 0.00       7.00 0.00       8.00 0.00      9.400
4       6.00 0.00       5.00 0.00       8.00 0.00       9.00 0.00      9.775
4       7.00 0.00       6.00 0.00       9.00 0.00      10.00 0.00     11.436
4       8.00 0.00       7.00 0.00      10.00 0.00      11.00 0.00     14.449
4       9.00 0.00       8.00 0.00      11.00 0.00      12.00 0.00     16.526
4      10.00 0.00       9.00 0.00      12.00 0.00      13.00 0.00     16.303
4      11.00 0.00      10.00 0.00      13.00 0.00      14.00 0.00     16.319
4      12.00 0.00      11.00 0.00      14.00 0.00      15.00 0.00     16.564
4      13.00 0.00      12.00 0.00      15.00 0.00      16.00 0.00     14.530
4      14.00 0.00      13.00 0.00      16.00 0.00      17.00 0.00     11.630
4      15.00 0.00      14.00 0.00      17.00 0.00      18.00 0.00     10.222
4      16.00 0.00      15.00 0.00      18.00 0.00      19.00 0.00     10.341
4      17.00 0.00      16.00 0.00      19.00 0.00      20.00 0.00      7.244
4      18.00 0.00      17.00 0.00      20.00 0.00      21.00 0.00      4.299
4      19.00 0.00      18.00 0.00      21.00 0.00      22.00 0.00      4.328
4      20.00 0.00      19.00 0.00      22.00 0.00      23.00 0.00      4.405
4      21.00 0.00      20.00 0.00      23.00 0.00      24.00 0.00      7.794
4      22.00 0.00      21.00 0.00      24.00 0.00      25.00 0.00     12.058
4      23.00 0.00      22.00 0.00      25.00 0.00      26.00 0.00      8.426
