Boundary and blocks - general array format
   2.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
892
1
0
4   30.000,   0.000   48.000,   0.000   36.000,   0.000   42.000,   0.000    12.48930
4   32.000,   0.000   50.000,   0.000   38.000,   0.000   44.000,   0.000    11.09610
4   34.000,   0.000   52.000,   0.000   40.000,   0.000   46.000,   0.000    14.08990
4   36.000,   0.000   54.000,   0.000   42.000,   0.000   48.000,   0.000    12.52980
4   38.000,   0.000   56.000,   0.000   44.000,   0.000   50.000,   0.000    13.14150
4   40.000,   0.000   58.000,   0.000   46.000,   0.000   52.000,   0.000    13.44250
4   42.000,   0.000   60.000,   0.000   48.000,   0.000   54.000,   0.000    15.22030
4   44.000,   0.000   62.000,   0.000   50.000,   0.000   56.000,   0.000    12.45220
4   46.000,   0.000   64.000,   0.000   52.000,   0.000   58.000,   0.000     9.82730
4   48.000,   0.000   66.000,   0.000   54.000,   0.000   60.000,   0.000     9.86970
4   50.000,   0.000   68.000,   0.000   56.000,   0.000   62.000,   0.000    12.60410
4   52.000,   0.000   70.000,   0.000   58.000,   0.000   64.000,   0.000    15.65580
4   54.000,   0.000   72.000,   0.000   60.000,   0.000   66.000,   0.000    14.89220
4   56.000,   0.000   74.000,   0.000   62.000,   0.000   68.000,   0.000    13.34530
4   58.000,   0.000   76.000,   0.000   64.000,   0.000   70.000,   0.000    12.56060
4   60.000,   0.000   78.000,   0.000   66.000,   0.000   72.000,   0.000    13.63910
4   62.000,   0.000   80.000,   0.000   68.000,   0.000   74.000,   0.000    13.86290
4   64.000,   0.000   82.000,   0.000   70.000,   0.000   76.000,   0.000    13.94430
4   66.000,   0.000   84.000,   0.000   72.000,   0.000   78.000,   0.000    13.98360
4   68.000,   0.000   86.000,   0.000   74.000,   0.000   80.000,   0.000    14.00570
4   70.000,   0.000   88.000,   0.000   76.000,   0.000   82.000,   0.000    14.01910
4   72.000,   0.000   90.000,   0.000   78.000,   0.000   84.000,   0.000    14.02660
4  -10.000,   0.000    8.000,   0.000   -2.000,   0.000    0.000,   0.000    13.45760
4   -8.000,   0.000   10.000,   0.000    0.000,   0.000    2.000,   0.000    13.35600
4   -6.000,   0.000   12.000,   0.000    2.000,   0.000    4.000,   0.000    10.55240
4   -4.000,   0.000   14.000,   0.000    4.000,   0.000    6.000,   0.000    21.43110
4   -2.000,   0.000   16.000,   0.000    6.000,   0.000    8.000,   0.000    21.48010
4    0.000,   0.000   18.000,   0.000    8.000,   0.000   10.000,   0.000    10.64310
4    2.000,   0.000   20.000,   0.000   10.000,   0.000   12.000,   0.000    13.63520
4    4.000,   0.000   22.000,   0.000   12.000,   0.000   14.000,   0.000    14.13230
4    6.000,   0.000   24.000,   0.000   14.000,   0.000   16.000,   0.000    15.48710
4    8.000,   0.000   26.000,   0.000   16.000,   0.000   18.000,   0.000    16.31210
4   10.000,   0.000   28.000,   0.000   18.000,   0.000   20.000,   0.000    15.00970
4   12.000,   0.000   30.000,   0.000   20.000,   0.000   22.000,   0.000    15.42240
4   14.000,   0.000   32.000,   0.000   22.000,   0.000   24.000,   0.000    19.18460
4   16.000,   0.000   34.000,   0.000   24.000,   0.000   26.000,   0.000    19.12420
4   18.000,   0.000   36.000,   0.000   26.000,   0.000   28.000,   0.000    18.77090
4   20.000,   0.000   38.000,   0.000   28.000,   0.000   30.000,   0.000    14.14070
4   22.000,   0.000   40.000,   0.000   30.000,   0.000   32.000,   0.000    14.65530
4   24.000,   0.000   42.000,   0.000   32.000,   0.000   34.000,   0.000    15.37780
4   26.000,   0.000   44.000,   0.000   34.000,   0.000   36.000,   0.000    15.82680
4   28.000,   0.000   46.000,   0.000   36.000,   0.000   38.000,   0.000    17.00100
4   30.000,   0.000   48.000,   0.000   38.000,   0.000   40.000,   0.000     3.84580
4   32.000,   0.000   50.000,   0.000   40.000,   0.000   42.000,   0.000    16.10150
4   34.000,   0.000   52.000,   0.000   42.000,   0.000   44.000,   0.000    14.57030
4   36.000,   0.000   54.000,   0.000   44.000,   0.000   46.000,   0.000    13.09750
