Borehole test at Limhamn limestone quarry 1995-10-25
1
13
626
2
0
Surface electrodes (dummy, not used in this survey)
17
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
Borehole 1 Electrodes
18
4 1
4 2
4 3
4 4
4 5
4 6
4 7
4 8
4 9
4 10
4 11
4 12
4 13
4 14
4 15
4 16
4 17
4 18
Borehole 2 Electrodes
18
16 1
16 2
16 3
16 4
16 5
16 6
16 7
16 8
16 9
16 10
16 11
16 12
16 13
16 14
16 15
16 16
16 17
16 18
Measured Data as Resistance (pole-pole array in this case)
2 4 13 16 6 0.662
2 4 13 16 7 0.692
2 4 13 16 8 0.712
2 4 13 16 9 0.728
2 4 13 16 10 0.74
2 4 13 16 11 0.747
2 4 13 16 12 0.748
2 4 13 16 13 0.737
2 4 13 16 14 0.708
2 4 13 16 15 0.684
2 4 13 16 16 0.619
2 4 13 16 17 0.603
2 4 13 16 18 0.569
2 4 13 4 1 0.807
2 4 13 4 2 0.807
2 4 13 4 3 0.864
2 4 13 4 4 0.922
2 4 13 4 5 1.009
2 4 13 4 6 1.153
2 4 13 4 7 1.432
2 4 13 4 8 1.722
2 4 13 4 9 2.13
2 4 13 4 10 2.87
2 4 13 4 11 4.34
2 4 13 4 12 9.14
2 4 12 16 1 0.641
2 4 12 16 2 0.641
2 4 12 16 3 0.649
2 4 12 16 4 0.661
2 4 12 16 5 0.678
2 4 12 16 6 0.705
2 4 12 16 7 0.733
2 4 12 16 8 0.75
2 4 12 16 9 0.763
2 4 12 16 10 0.77
2 4 12 16 11 0.771
2 4 12 16 12 0.765
2 4 12 16 13 0.746
2 4 12 16 14 0.706
2 4 12 16 15 0.676
2 4 12 16 16 0.603
2 4 12 16 17 0.584
2 4 12 16 18 0.55
2 4 12 4 1 0.892
2 4 12 4 2 0.892
2 4 12 4 3 0.963
2 4 12 4 4 1.036
2 4 12 4 5 1.149
2 4 12 4 6 1.34
2 4 12 4 7 1.724
2 4 12 4 8 2.16
2 4 12 4 9 2.87
2 4 12 4 10 4.42
2 4 12 4 11 9.23
2 4 11 16 1 0.685
2 4 11 16 2 0.685
2 4 11 16 3 0.692
2 4 11 16 4 0.704
2 4 11 16 5 0.721
2 4 11 16 6 0.746
2 4 11 16 7 0.771
2 4 11 16 8 0.784
2 4 11 16 9 0.792
2 4 11 16 10 0.794
2 4 11 16 11 0.788
2 4 11 16 12 0.775
2 4 11 16 13 0.749
2 4 11 16 14 0.701
2 4 11 16 15 0.666
2 4 11 16 16 0.586
2 4 11 16 17 0.566
2 4 11 16 18 0.531
2 4 11 4 1 0.987
2 4 11 4 2 0.987
2 4 11 4 3 1.077
2 4 11 4 4 1.171
2 4 11 4 5 1.319
2 4 11 4 6 1.581
2 4 11 4 7 2.13
2 4 11 4 8 2.87
2 4 11 4 9 4.29
2 4 11 4 10 9.19
2 4 10 16 1 0.739
2 4 10 16 2 0.739
2 4 10 16 3 0.745
2 4 10 16 4 0.757
2 4 10 16 5 0.772
2 4 10 16 6 0.795
2 4 10 16 7 0.813
2 4 10 16 8 0.819
2 4 10 16 9 0.821
2 4 10 16 10 0.816
2 4 10 16 11 0.8015
2 4 10 16 12 0.782
2 4 10 16 13 0.7475
2 4 10 16 14 0.692
2 4 10 16 15 0.653
2 4 10 16 16 0.568
2 4 10 16 17 0.548
2 4 10 16 18 0.513
2 4 10 4 1 1.119
2 4 10 4 2 1.119
2 4 10 4 3 1.241
2 4 10 4 4 1.373
2 4 10 4 5 1.59
2 4 10 4 6 2
2 4 10 4 7 2.97
2 4 10 4 8 4.78
2 4 10 4 9 10.84
2 4 9 16 1 0.793
2 4 9 16 2 0.793
2 4 9 16 3 0.797
2 4 9 16 4 0.806
2 4 9 16 5 0.819
2 4 9 16 6 0.835
2 4 9 16 7 0.8435
2 4 9 16 8 0.84
2 4 9 16 9 0.834
2 4 9 16 10 0.8215
2 4 9 16 11 0.799
2 4 9 16 12 0.773
2 4 9 16 13 0.733
2 4 9 16 14 0.672
2 4 9 16 15 0.631
2 4 9 16 16 0.546
2 4 9 16 17 0.526
2 4 9 16 18 0.492
2 4 9 4 1 1.282
2 4 9 4 2 1.282
2 4 9 4 3 1.453
2 4 9 4 4 1.645
2 4 9 4 5 1.98
2 4 9 4 6 2.69
2 4 9 4 7 4.65
2 4 9 4 8 11.75
2 4 8 16 1 0.857
2 4 8 16 2 0.857
2 4 8 16 3 0.857
2 4 8 16 4 0.863
2 4 8 16 5 0.871
2 4 8 16 6 0.878
2 4 8 16 7 0.874
2 4 8 16 8 0.859
2 4 8 16 9 0.845
2 4 8 16 10 0.825
2 4 8 16 11 0.795
2 4 8 16 12 0.7625
2 4 8 16 13 0.719
2 4 8 16 14 0.655
2 4 8 16 15 0.612
2 4 8 16 16 0.528
2 4 8 16 17 0.507
2 4 8 16 18 0.474
2 4 8 4 1 1.505
2 4 8 4 2 1.505
2 4 8 4 3 1.766
2 4 8 4 4 2.07
2 4 8 4 5 2.68
2 4 8 4 6 4.32
2 4 8 4 7 11.3
2 4 7 16 1 0.931
2 4 7 16 2 0.931
2 4 7 16 3 0.926
2 4 7 16 4 0.927
2 4 7 16 5 0.928
2 4 7 16 6 0.923
2 4 7 16 7 0.903
2 4 7 16 8 0.874
2 4 7 16 9 0.851
2 4 7 16 10 0.823
2 4 7 16 11 0.7855
2 4 7 16 12 0.749
2 4 7 16 13 0.7015
2 4 7 16 14 0.636
2 4 7 16 15 0.593
2 4 7 16 16 0.509
2 4 7 16 17 0.489
2 4 7 16 18 0.457
2 4 7 4 1 1.815
2 4 7 4 2 1.815
2 4 7 4 3 2.24
2 4 7 4 4 2.79
2 4 7 4 5 4.08
2 4 7 4 6 9.94
2 4 6 16 1 1.06
2 4 6 16 2 1.06
2 4 6 16 3 1.043
2 4 6 16 4 1.033
2 4 6 16 5 1.02
2 4 6 16 6 0.99
2 4 6 16 7 0.941
2 4 6 16 8 0.889
2 4 6 16 9 0.851
2 4 6 16 10 0.812
2 4 6 16 11 0.766
2 4 6 16 12 0.724
2 4 6 16 13 0.674
2 4 6 16 14 0.607
