Blocks
   1.00
1
245
1
0
     14.00	 8.00	   24.51
     15.00	 8.00	   24.09
     16.00	 8.00	   23.48
     17.00	 8.00	   22.48
     18.00	 8.00	   21.18
     19.00	 8.00	   19.68
     20.00	 8.00	   17.93
     21.00	 8.00	   15.85
     22.00	 8.00	   13.95
     23.00	 8.00	   12.41
     24.00	 8.00	   11.37
     25.00	 8.00	   10.96
     26.00	 8.00	   10.56
     27.00	 8.00	   10.00
     28.00	 8.00	    9.44
     13.50	 9.00	   26.79
     14.50	 9.00	   26.40
     15.50	 9.00	   25.64
     16.50	 9.00	   24.61
     17.50	 9.00	   23.39
     18.50	 9.00	   21.98
     19.50	 9.00	   20.22
     20.50	 9.00	   17.94
     21.50	 9.00	   15.74
     22.50	 9.00	   13.94
     23.50	 9.00	   12.70
     24.50	 9.00	   12.14
     25.50	 9.00	   11.70
     26.50	 9.00	   11.17
     15.00	10.00	   27.50
     16.00	10.00	   26.53
     17.00	10.00	   25.41
     18.00	10.00	   24.12
     19.00	10.00	   22.48
     20.00	10.00	   20.22
     21.00	10.00	   17.82
     22.00	10.00	   15.70
     23.00	10.00	   14.17
     24.00	10.00	   13.39
     25.00	10.00	   12.81
0
2
R
24,0.7
28,2.3
2.0
2.0
T
30,0.0
30,3.0
45,3.0
10.0
2.5
0
0
