Rathcroghan Mound Line 00
  2.0
 1
 339
1
0
   46.0     4.0   135.0
   48.0     4.0   140.0
   50.0     4.0   122.0
   52.0     4.0   105.0
   54.0     4.0   188.0
   56.0     4.0   202.0
   58.0     4.0   140.0
   60.0     4.0   139.0
   62.0     4.0   188.0
   64.0     4.0   237.0
   66.0     4.0   312.0
   68.0     4.0   427.0
   70.0     4.0   475.0
   72.0     4.0   480.0
   74.0     4.0   624.0
   76.0     4.0   702.0
   78.0     4.0   670.0
   80.0     4.0   789.0
   82.0     4.0   991.0
   84.0     4.0   927.0
   86.0     4.0   795.0
   88.0     4.0   846.0
   90.0     4.0  1013.0
  -27.0     6.0   271.0
  -25.0     6.0   245.0
  -23.0     6.0   217.0
  -21.0     6.0   220.0
  -19.0     6.0   305.0
  -17.0     6.0   378.0
  -15.0     6.0   448.0
  -13.0     6.0   468.0
  -11.0     6.0   532.0
   -9.0     6.0   504.0
   -7.0     6.0   531.0
   -5.0     6.0   554.0
   -3.0     6.0   595.0
   -1.0     6.0   628.0
    1.0     6.0   714.0
    3.0     6.0   688.0
    5.0     6.0   602.0
    7.0     6.0   533.0
    9.0     6.0   487.0
   11.0     6.0   507.0
   13.0     6.0   516.0
   15.0     6.0   483.0
   17.0     6.0   385.0
   19.0     6.0   321.0
   21.0     6.0   315.0
   23.0     6.0   347.0
   25.0     6.0   381.0
   27.0     6.0   408.0
   29.0     6.0   362.0
   31.0     6.0   324.0
   33.0     6.0   295.0
   35.0     6.0   360.0
   37.0     6.0   365.0
   39.0     6.0   366.0
   41.0     6.0   271.0
   43.0     6.0   228.0
   45.0     6.0   196.0
   47.0     6.0   194.0
   49.0     6.0   170.0
   51.0     6.0   175.0
   53.0     6.0   251.0
   55.0     6.0   271.0
   57.0     6.0   284.0
   59.0     6.0   214.0
   61.0     6.0   231.0
   63.0     6.0   287.0
   65.0     6.0   431.0
   67.0     6.0   551.0
   69.0     6.0   640.0
   71.0     6.0   681.0
   73.0     6.0   751.0
   75.0     6.0   765.0
   77.0     6.0   851.0
   79.0     6.0   964.0
   81.0     6.0  1073.0
   83.0     6.0  1076.0
   85.0     6.0  1085.0
   87.0     6.0   982.0
  -24.0     8.0   290.0
  -22.0     8.0   273.0
  -20.0     8.0   316.0
  -18.0     8.0   373.0
  -16.0     8.0   453.0
  -14.0     8.0   549.0
  -12.0     8.0   582.0
  -10.0     8.0   512.0
   -8.0     8.0   473.0
   -6.0     8.0   481.0
   -4.0     8.0   541.0
   -2.0     8.0   615.0
    0.0     8.0   683.0
    2.0     8.0   715.0
    4.0     8.0   703.0
    6.0     8.0   642.0
    8.0     8.0   604.0
   10.0     8.0   605.0
   12.0     8.0   612.0
   14.0     8.0   585.0
   16.0     8.0   553.0
   18.0     8.0   458.0
   20.0     8.0   417.0
   22.0     8.0   435.0
   24.0     8.0   473.0
   26.0     8.0   491.0
   28.0     8.0   473.0
   30.0     8.0   454.0
   32.0     8.0   417.0
   34.0     8.0   441.0
   36.0     8.0   461.0
   38.0     8.0   444.0
   40.0     8.0   436.0
   42.0     8.0   347.0
   44.0     8.0   267.0
   46.0     8.0   247.0
   48.0     8.0   223.0
   50.0     8.0   235.0
   52.0     8.0   348.0
   54.0     8.0   349.0
   56.0     8.0   366.0
   58.0     8.0   357.0
   60.0     8.0   308.0
   62.0     8.0   368.0
   64.0     8.0   462.0
   66.0     8.0   618.0
   68.0     8.0   775.0
   70.0     8.0   811.0
   72.0     8.0   887.0
   74.0     8.0   894.0
   76.0     8.0   922.0
   78.0     8.0  1034.0
   80.0     8.0  1084.0
   82.0     8.0  1171.0
   84.0     8.0  1172.0
  -21.0    10.0   363.0
  -19.0    10.0   409.0
  -17.0    10.0   485.0
  -15.0    10.0   542.0
  -13.0    10.0   606.0
  -11.0    10.0   548.0
   -9.0    10.0   518.0
   -7.0    10.0   525.0
   -5.0    10.0   563.0
   -3.0    10.0   588.0
   -1.0    10.0   626.0
    1.0    10.0   674.0
    3.0    10.0   722.0
    5.0    10.0   726.0
    7.0    10.0   722.0
    9.0    10.0   708.0
   11.0    10.0   660.0
   13.0    10.0   615.0
   15.0    10.0   603.0
   17.0    10.0   590.0
   19.0    10.0   526.0
   21.0    10.0   514.0
   23.0    10.0   524.0
   25.0    10.0   536.0
   27.0    10.0   528.0
   29.0    10.0   557.0
   31.0    10.0   553.0
   33.0    10.0   576.0
   35.0    10.0   549.0
   37.0    10.0   551.0
   39.0    10.0   529.0
   41.0    10.0   488.0
   43.0    10.0   383.0
   45.0    10.0   339.0
   47.0    10.0   286.0
   49.0    10.0   289.0
   51.0    10.0   399.0
   53.0    10.0   439.0
   55.0    10.0   427.0
   57.0    10.0   430.0
   59.0    10.0   467.0
   61.0    10.0   440.0
   63.0    10.0   533.0
   65.0    10.0   689.0
   67.0    10.0   794.0
   69.0    10.0   837.0
   71.0    10.0   998.0
   73.0    10.0   989.0
   75.0    10.0  1003.0
   77.0    10.0  1054.0
   79.0    10.0  1166.0
   81.0    10.0  1121.0
  -18.0    12.0   518.0
  -16.0    12.0   546.0
  -14.0    12.0   588.0
  -12.0    12.0   584.0
  -10.0    12.0   577.0
   -8.0    12.0   601.0
   -6.0    12.0   638.0
   -4.0    12.0   630.0
   -2.0    12.0   631.0
    0.0    12.0   687.0
    2.0    12.0   722.0
    4.0    12.0   749.0
    6.0    12.0   762.0
    8.0    12.0   780.0
   10.0    12.0   740.0
   12.0    12.0   646.0
   14.0    12.0   622.0
   16.0    12.0   614.0
   18.0    12.0   617.0
   20.0    12.0   551.0
   22.0    12.0   546.0
   24.0    12.0   582.0
   26.0    12.0   584.0
   28.0    12.0   602.0
   30.0    12.0   631.0
   32.0    12.0   701.0
   34.0    12.0   692.0
   36.0    12.0   654.0
   38.0    12.0   627.0
   40.0    12.0   587.0
   42.0    12.0   544.0
   44.0    12.0   453.0
   46.0    12.0   385.0
   48.0    12.0   370.0
   50.0    12.0   464.0
   52.0    12.0   471.0
   54.0    12.0   490.0
   56.0    12.0   491.0
   58.0    12.0   527.0
   60.0    12.0   586.0
   62.0    12.0   615.0
   64.0    12.0   729.0
   66.0    12.0   814.0
   68.0    12.0   891.0
   70.0    12.0  1012.0
   72.0    12.0  1033.0
   74.0    12.0  1091.0
   76.0    12.0  1160.0
   78.0    12.0  1680.0
2
67
-36,0.044
-34,0.134
-32,0.311
-30,0.503
-28,0.712
-26,1.161
-24,1.492
-22,1.833
-20,2.269
-18,2.578
-16,2.483
-14,2.714
-12,3.088
-10,3.443
-8,3.758
-6,3.924
-4,4.122
-2,4.306
0,4.526
2,4.747
4,5.028
6,5.104
8,5.111
10,5.138
12,5.192
14,5.17
16,5.138
18,5.054
20,5.007
22,5.016
24,4.989
26,4.987
28,4.865
30,4.708
32,4.579
34,4.558
36,4.435
38,4.376
40,3.862
42,3.426
44,2.997
46,2.647
48,2.227
50,1.878
52,1.53
54,1.133
56,0.759
58,0.385
60,-.093
62,-.585
64,-1.095
66,-1.489
68,-1.873
70,-2.095
72,-2.274
74,-2.363
76,-2.539
78,-2.702
80,-2.765
82,-2.853
84,-2.914
86,-2.985
88,-3.008
90,-3.096
92,-3.207
94,-3.27
96,-3.34
 1
0
0
0
0
0
