Blocks Model
   1.00
6
Remote electrodes included
C2 remote electrode X, Y and Z location
-25.000,10.000,0.0
Approximate Geometric factor used
570
1
0
     30.50       1.00 -2      10.29
     31.50       1.00 -2      10.16
     32.50       1.00 -2      10.09
      2.00       1.00 -3      10.56
      3.00       1.00 -3      10.72
      4.00       1.00 -3      11.04
      5.00       1.00 -3      11.70
      6.00       1.00 -3      13.02
      7.00       1.00 -3      15.14
      8.00       1.00 -3      18.60
      9.00       1.00 -3      24.44
     10.00       1.00 -3      28.46
     11.00       1.00 -3      26.24
     12.00       1.00 -3      22.75
     13.00       1.00 -3      18.60
     14.00       1.00 -3      15.18
     15.00       1.00 -3      13.14
     16.00       1.00 -3      11.85
     17.00       1.00 -3      11.51
     18.00       1.00 -3      12.14
     19.00       1.00 -3      11.81
     20.00       1.00 -3      13.42
     21.00       1.00 -3      15.52
     22.00       1.00 -3      11.77
     23.00       1.00 -3       7.20
     24.00       1.00 -3       6.23
     25.00       1.00 -3       6.48
     26.00       1.00 -3       6.07
     27.00       1.00 -3       5.26
     28.00       1.00 -3       7.71
     29.00       1.00 -3      10.89
     30.00       1.00 -3      10.79
     31.00       1.00 -3      10.45
     32.00       1.00 -3      10.28
      2.50       1.00 -4      10.99
      3.50       1.00 -4      11.35
      4.50       1.00 -4      12.06
      5.50       1.00 -4      13.30
      6.50       1.00 -4      14.99
      7.50       1.00 -4      17.34
      8.50       1.00 -4      21.19
      9.50       1.00 -4      27.70
     10.50       1.00 -4      31.79
     11.50       1.00 -4      27.93
     12.50       1.00 -4      22.33
     13.50       1.00 -4      18.06
     14.50       1.00 -4      15.67
     15.50       1.00 -4      14.37
     16.50       1.00 -4      13.38
     17.50       1.00 -4      11.44
     18.50       1.00 -4      10.03
     19.50       1.00 -4       9.81
     20.50       1.00 -4      12.23
     21.50       1.00 -4      14.62
     22.50       1.00 -4      10.70
     23.50       1.00 -4       6.93
     24.50       1.00 -4       6.90
     25.50       1.00 -4       7.19
     26.50       1.00 -4       6.44
     27.50       1.00 -4       5.13
     28.50       1.00 -4       7.39
     29.50       1.00 -4      10.91
     30.50       1.00 -4      10.93
     31.50       1.00 -4      10.55
      3.00       1.00 -5      11.65
      4.00       1.00 -5      12.35
      5.00       1.00 -5      13.49
      6.00       1.00 -5      14.82
      7.00       1.00 -5      16.46
      8.00       1.00 -5      18.79
      9.00       1.00 -5      22.59
     10.00       1.00 -5      28.90
     11.00       1.00 -5      31.87
     12.00       1.00 -5      26.13
     13.00       1.00 -5      20.95
     14.00       1.00 -5      18.11
     15.00       1.00 -5      16.67
     16.00       1.00 -5      15.82
     17.00       1.00 -5      13.24
     18.00       1.00 -5       9.60
     19.00       1.00 -5       8.45
     20.00       1.00 -5       8.85
     21.00       1.00 -5      11.04
     22.00       1.00 -5      13.09
     23.00       1.00 -5      11.05
     24.00       1.00 -5       7.93
     25.00       1.00 -5       7.59
     26.00       1.00 -5       7.66
     27.00       1.00 -5       6.76
     28.00       1.00 -5       5.08
     29.00       1.00 -5       7.15
     30.00       1.00 -5      10.88
     31.00       1.00 -5      11.01
      3.50       1.00 -6      12.64
      4.50       1.00 -6      13.65
      5.50       1.00 -6      14.70
      6.50       1.00 -6      15.86
      7.50       1.00 -6      17.32
      8.50       1.00 -6      19.39
      9.50       1.00 -6      22.67
     10.50       1.00 -6      27.74
     11.50       1.00 -6      28.78
     12.50       1.00 -6      23.95
     13.50       1.00 -6      20.59
     14.50       1.00 -6      18.87
     15.50       1.00 -6      17.87
     16.50       1.00 -6      15.36
     17.50       1.00 -6      11.47
     18.50       1.00 -6       8.48
     19.50       1.00 -6       7.75
     20.50       1.00 -6       8.00
     21.50       1.00 -6       9.68
     22.50       1.00 -6      13.35
     23.50       1.00 -6      12.72
     24.50       1.00 -6       8.71
     25.50       1.00 -6       7.98
     26.50       1.00 -6       7.98
     27.50       1.00 -6       7.00
     28.50       1.00 -6       5.05
     29.50       1.00 -6       6.96
     30.50       1.00 -6      10.83
      4.00       1.00 -7      13.81
      5.00       1.00 -7      14.64
      6.00       1.00 -7      15.45
      7.00       1.00 -7      16.39
      8.00       1.00 -7      17.54
      9.00       1.00 -7      19.05
     10.00       1.00 -7      21.23
     11.00       1.00 -7      24.38
     12.00       1.00 -7      25.83
     13.00       1.00 -7      23.16
     14.00       1.00 -7      21.09
     15.00       1.00 -7      19.80
     16.00       1.00 -7      17.06
     17.00       1.00 -7      13.35
     18.00       1.00 -7      10.59
     19.00       1.00 -7       8.12
     20.00       1.00 -7       7.19
     21.00       1.00 -7       7.16
     22.00       1.00 -7       9.72
     23.00       1.00 -7      14.98
     24.00       1.00 -7      13.87
     25.00       1.00 -7       9.17
     26.00       1.00 -7       8.23
     27.00       1.00 -7       8.21
     28.00       1.00 -7       7.21
     29.00       1.00 -7       5.06
     30.00       1.00 -7       6.81
      4.50       1.00 -8      14.66
      5.50       1.00 -8      15.22
      6.50       1.00 -8      15.79
      7.50       1.00 -8      16.40
      8.50       1.00 -8      17.04
      9.50       1.00 -8      17.65
     10.50       1.00 -8      18.45
     11.50       1.00 -8      21.52
     12.50       1.00 -8      24.60
     13.50       1.00 -8      23.38
     14.50       1.00 -8      21.78
     15.50       1.00 -8      18.68
     16.50       1.00 -8      14.82
     17.50       1.00 -8      12.43
     18.50       1.00 -8      10.46
     19.50       1.00 -8       7.86
     20.50       1.00 -8       6.67
     21.50       1.00 -8       7.27
     22.50       1.00 -8      10.68
     23.50       1.00 -8      15.98
     24.50       1.00 -8      14.53
     25.50       1.00 -8       9.50
     26.50       1.00 -8       8.42
     27.50       1.00 -8       8.40
     28.50       1.00 -8       7.38
     29.50       1.00 -8       5.08
      5.00       1.00 -9      15.13
      6.00       1.00 -9      15.45
      7.00       1.00 -9      15.72
      8.00       1.00 -9      15.87
      9.00       1.00 -9      15.75
     10.00       1.00 -9      15.37
     11.00       1.00 -9      16.26
     12.00       1.00 -9      20.24
     13.00       1.00 -9      24.50
     14.00       1.00 -9      23.81
     15.00       1.00 -9      20.37
     16.00       1.00 -9      16.25
     17.00       1.00 -9      13.83
     18.00       1.00 -9      12.30
     19.00       1.00 -9      10.40
     20.00       1.00 -9       7.67
     21.00       1.00 -9       6.92
     22.00       1.00 -9       7.94
     23.00       1.00 -9      11.21
     24.00       1.00 -9      16.48
     25.00       1.00 -9      15.01
     26.00       1.00 -9       9.76
     27.00       1.00 -9       8.58
     28.00       1.00 -9       8.55
     29.00       1.00 -9       7.53
      5.50       1.00 -10      15.31
      6.50       1.00 -10      15.34
      7.50       1.00 -10      15.20
      8.50       1.00 -10      14.72
      9.50       1.00 -10      13.85
     10.50       1.00 -10      13.68
     11.50       1.00 -10      15.28
     12.50       1.00 -10      19.94
     13.50       1.00 -10      24.63
     14.50       1.00 -10      22.12
     15.50       1.00 -10      17.73
     16.50       1.00 -10      15.18
     17.50       1.00 -10      13.68
     18.50       1.00 -10      12.27
     19.50       1.00 -10      10.41
     20.50       1.00 -10       8.15
     21.50       1.00 -10       7.58
     22.50       1.00 -10       8.31
     23.50       1.00 -10      11.42
     24.50       1.00 -10      16.80
     25.50       1.00 -10      15.40
     26.50       1.00 -10      10.00
     27.50       1.00 -10       8.72
     28.50       1.00 -10       8.69
0
0
0
0
0
0

