BOREHOLE WITH TOPOGRAPHY
    1.00000
12
570
2
0
Topography Present
Topography information mode (0=wrt to surface electrodes)
0
Type of x-distances
2
Surface	Electrodes
31
-14.0000  0.0
-13.0000  0.03
-12.0000  0.05
-11.0000  0.08
-10.0000  0.11
-9.0000  0.13
-8.0000  0.16
-7.0000  0.18
-6.0000  0.21
-5.0000  0.26
-4.0000  0.31
-3.0000  0.36
-2.0000  0.41
-1.0000  0.46
0.0000  0.51
1.0000   0.56
2.0000  0.58
3.0000  0.60
4.0000  0.62
5.0000  0.64
6.0000  0.66
7.0000  0.68
8.0000  0.71
9.0000  0.73
10.0000  0.75
11.0000  0.77
12.0000  0.79
13.0000  0.81
14.0000  0.83
15.0000  0.85
16.0000  0.95
Borehole 1 electrodes
17
-14.0000  1.0000
-14.0000  2.0000
-14.0000  3.0000
-14.0000  4.0000
-14.0000  5.0000
-14.0000  6.0000
-14.0000  7.0000
-14.0000  8.0000
-14.0000  9.0000
-14.0000  10.0000
-14.0000  11.0000
-14.0000  12.0000
-14.0000  13.0000
-14.0000  14.0000
-14.0000  15.0000
-14.0000  16.0000
-14.0000  17.0000
Borehole 2 electrodes
17
16.0000  1.0000
16.0000  2.0000
16.0000  3.0000
16.0000  4.0000
16.0000  5.0000
16.0000  6.0000
16.0000  7.0000
16.0000  8.0000
16.0000  9.0000
16.0000  10.0000
16.0000  11.0000
16.0000  12.0000
16.0000  13.0000
16.0000  14.0000
16.0000  15.0000
16.0000  16.0000
16.0000  17.0000
Measured Data
 2 10.0000  0.0000 16.0000  1.0000 5646.3667 
 2 11.0000  0.0000 16.0000  2.0000 5030.0000 
 2 12.0000  0.0000 16.0000  3.0000 4277.3691 
 2 13.0000  0.0000 16.0000  4.0000 3756.5530 
 2 14.0000  0.0000 16.0000  5.0000 3524.6006 
 2 15.0000  0.0000 16.0000  6.0000 3470.2976 
 2 16.0000  0.0000 16.0000  7.0000 3383.4736 
 2 16.0000  1.0000 16.0000  8.0000 3254.7385 
 2 16.0000  4.0000 16.0000  11.0000 1882.0242 
 2 16.0000  5.0000 16.0000  12.0000 1598.8701 
 2 16.0000  6.0000 16.0000  13.0000 1127.6744 
 2 16.0000  7.0000 16.0000  14.0000 819.8579 
 2 16.0000  8.0000 16.0000  15.0000 796.6732 
 2 16.0000  9.0000 16.0000  16.0000 592.4013 
 2 -14.0000  17.0000 -14.0000  11.0000 1006.6012 
 2 -14.0000  16.0000 -14.0000  10.0000 883.8768 
 2 -14.0000  15.0000 -14.0000  9.0000 953.7294 
 2 -14.0000  14.0000 -14.0000  8.0000 1055.9468
 2 -14.0000  13.0000 -14.0000  7.0000 1455.1909 
 2 -14.0000  12.0000 -14.0000  6.0000 1616.2749 
 2 -14.0000  11.0000 -14.0000  5.0000 2317.1768 
 2 -14.0000  10.0000 -14.0000  4.0000 2682.2991 
 2 -14.0000  9.0000 -14.0000  3.0000 2730.5198 
 2 -14.0000  8.0000 -14.0000  2.0000 3478.7532
 2 -14.0000  7.0000 -14.0000  1.0000 4148.7402 
 2 -14.0000  6.0000 -14.0000  0.0000 3991.4465 
 2 -14.0000  5.0000 -13.0000  0.0000 4123.6440 
 2 -14.0000  4.0000 -12.0000  0.0000 4184.0547 
 2 -14.0000  3.0000 -11.0000  0.0000 4698.0732 
 2 -14.0000  2.0000 -10.0000  0.0000 5178.8125 
 2 -14.0000  1.0000 -9.0000  0.0000 5469.2554 
 2 -14.0000  0.0000 -8.0000  0.0000 5769.1992 
 2 -13.0000  0.0000 -7.0000  0.0000 5064.6001 
 2 -12.0000  0.0000 -6.0000  0.0000 4615.0459 
 2 -11.0000  0.0000 -5.0000  0.0000 4079.9487 
 2 -10.0000  0.0000 -4.0000  0.0000 4294.0459 
 2 -9.0000  0.0000 -3.0000  0.0000 4234.4434 
 2 -8.0000  0.0000 -2.0000  0.0000 4272.2744 
 2 -7.0000  0.0000 -1.0000  0.0000 4499.5171 
 2 -6.0000  0.0000 0.0000  0.0000 4380.1240 
 2 -5.0000  0.0000 1.0000  0.0000 4510.3818 
 2 -4.0000  0.0000 2.0000  0.0000 4492.4072 
 2 -3.0000  0.0000 3.0000  0.0000 4464.2422 
 2 -2.0000  0.0000 4.0000  0.0000 4572.1479 
 2 -1.0000  0.0000 5.0000  0.0000 4194.1694 
 2 0.0000  0.0000 6.0000  0.0000 4328.3066 
 2 1.0000  0.0000 7.0000  0.0000 3945.6082 
 2 2.0000  0.0000 8.0000  0.0000 3747.4343 
 2 3.0000  0.0000 9.0000  0.0000 3673.3547 
 2 4.0000  0.0000 10.0000  0.0000 3906.1221 
 2 5.0000  0.0000 11.0000  0.0000 3785.8660 
 2 6.0000  0.0000 12.0000  0.0000 3995.7327 
 2 7.0000  0.0000 13.0000  0.0000 4604.8066 
 2 8.0000  0.0000 14.0000  0.0000 4381.1567 
 2 9.0000  0.0000 15.0000  0.0000 4556.1675 
 2 10.0000  0.0000 16.0000  0.0000 5829.4951 
 2 11.0000  0.0000 16.0000  1.0000 6535.9106 
 2 12.0000  0.0000 16.0000  2.0000 5062.6621 
 2 13.0000  0.0000 16.0000  3.0000 4170.0586 
 2 14.0000  0.0000 16.0000  4.0000 3527.1958 
 2 15.0000  0.0000 16.0000  5.0000 3390.2415 
 2 16.0000  0.0000 16.0000  6.0000 3570.0371 
 2 16.0000  1.0000 16.0000  7.0000 3533.0039 
 2 16.0000  2.0000 16.0000  8.0000 3658.3435 
 2 16.0000  3.0000 16.0000  9.0000 2639.0042 
 2 16.0000  4.0000 16.0000  10.0000 2916.0986 
 2 16.0000  5.0000 16.0000  11.0000 1874.9257
 2 16.0000  6.0000 16.0000  12.0000 1658.3962 
 2 16.0000  7.0000 16.0000  13.0000 1186.9584 
 2 16.0000  8.0000 16.0000  14.0000 950.4970 
 2 16.0000  9.0000 16.0000  15.0000 883.0940 
 2 16.0000  10.0000 16.0000  16.0000 561.6921 
 2 -14.0000  17.0000 -14.0000  12.0000 859.3712 
 2 -14.0000  16.0000 -14.0000  11.0000 996.5640 
 2 -14.0000  15.0000 -14.0000  10.0000 1004.6298 
 2 -14.0000  14.0000 -14.0000  9.0000 1070.2029 
 2 -14.0000  13.0000 -14.0000  8.0000 1579.5486 
 2 -14.0000  12.0000 -14.0000  7.0000 1959.6033
 2 -14.0000  11.0000 -14.0000  6.0000 2468.7903 
 2 -14.0000  10.0000 -14.0000  5.0000 2809.4001 
 2 -14.0000  9.0000 -14.0000  4.0000 2931.0359 
 2 -14.0000  8.0000 -14.0000  3.0000 2878.0847 
 2 -14.0000  7.0000 -14.0000  2.0000 3578.3232 
 2 -14.0000  6.0000 -14.0000  1.0000 4784.8735 
 2 -14.0000  5.0000 -14.0000  0.0000 4117.2388 
 2 -14.0000  4.0000 -13.0000  0.0000 4077.7239 
 2 -14.0000  3.0000 -12.0000  0.0000 4471.0220 
 2 -14.0000  2.0000 -11.0000  0.0000 5391.7573 
 2 -14.0000  1.0000 -10.0000  0.0000 6045.2280 
 2 -14.0000  0.0000 -9.0000  0.0000 6506.2173 
 2 -13.0000  0.0000 -8.0000  0.0000 5838.6826 
 2 -12.0000  0.0000 -7.0000  0.0000 5065.2612 
 2 -11.0000  0.0000 -6.0000  0.0000 4690.7485 
 2 -10.0000  0.0000 -5.0000  0.0000 4487.7959 
 2 -9.0000  0.0000 -4.0000  0.0000 4838.5166 
 2 -8.0000  0.0000 -3.0000  0.0000 4625.7710 
 2 -7.0000  0.0000 -2.0000  0.0000 4701.4331 
 2 -6.0000  0.0000 -1.0000  0.0000 4999.7744 
 2 -5.0000  0.0000 0.0000  0.0000 5053.6118 
 2 -4.0000  0.0000 1.0000  0.0000 4729.1670 
 2 -3.0000  0.0000 2.0000  0.0000 5113.0728 
 2 -2.0000  0.0000 3.0000  0.0000 4690.7173 
 2 -1.0000  0.0000 4.0000  0.0000 4834.5679 
 2 0.0000  0.0000 5.0000  0.0000 4913.0034 
 2 1.0000  0.0000 6.0000  0.0000 4915.0083 
 2 2.0000  0.0000 7.0000  0.0000 4205.0747 
 2 3.0000  0.0000 8.0000  0.0000 3609.5203 
 2 4.0000  0.0000 9.0000  0.0000 4650.8413 
 2 5.0000  0.0000 10.0000  0.0000 4504.9360 
 2 6.0000  0.0000 11.0000  0.0000 4218.8945
 2 7.0000  0.0000 12.0000  0.0000 5296.2524 
 2 8.0000  0.0000 13.0000  0.0000 5281.9863 
 2 9.0000  0.0000 14.0000  0.0000 4512.5830 
 2 10.0000  0.0000 15.0000  0.0000 5689.6240 
 2 11.0000  0.0000 16.0000  0.0000 7094.0083 
 2 12.0000  0.0000 16.0000  1.0000 7062.3789 
 2 13.0000  0.0000 16.0000  2.0000 4340.9971 
 2 14.0000  0.0000 16.0000  3.0000 3866.3867 
 2 15.0000  0.0000 16.0000  4.0000 3374.5024 
 2 16.0000  0.0000 16.0000  5.0000 3384.1333 
 2 16.0000  1.0000 16.0000  6.0000 3726.3308 
 2 16.0000  2.0000 16.0000  7.0000 3530.6201 
 2 16.0000  3.0000 16.0000  8.0000 3661.6187 
 2 16.0000  4.0000 16.0000  9.0000 2565.8899 
 2 16.0000  5.0000 16.0000  10.0000 2568.3816 
 2 16.0000  6.0000 16.0000  11.0000 1952.2415 
 2 16.0000  7.0000 16.0000  12.0000 1817.8987 
 2 16.0000  8.0000 16.0000  13.0000 1407.1743 
 2 16.0000  9.0000 16.0000  14.0000 1135.7139 
 2 16.0000  10.0000 16.0000  15.0000 877.2901 
 2 16.0000  11.0000 16.0000  16.0000 614.0777 
 2 -14.0000  17.0000 -14.0000  13.0000 922.4504 
 2 -14.0000  16.0000 -14.0000  12.0000 975.9856 
 2 -14.0000  15.0000 -14.0000  11.0000 1165.2734 
 2 -14.0000  14.0000 -14.0000  10.0000 1124.0182 
 2 -14.0000  13.0000 -14.0000  9.0000 1634.1729 
 2 -14.0000  12.0000 -14.0000  8.0000 2277.3030 
 2 -14.0000  11.0000 -14.0000  7.0000 2804.5942
 2 -14.0000  10.0000 -14.0000  6.0000 3214.0559 
 2 -14.0000  9.0000 -14.0000  5.0000 2995.0242 
 2 -14.0000  8.0000 -14.0000  4.0000 3029.1401 
 2 -14.0000  7.0000 -14.0000  3.0000 3510.7886 
 2 -14.0000  6.0000 -14.0000  2.0000 4459.1074 
 2 -14.0000  5.0000 -14.0000  1.0000 4616.0957 
 2 -14.0000  4.0000 -14.0000  0.0000 4135.9487 
 2 -14.0000  3.0000 -13.0000  0.0000 4322.4644 
 2 -14.0000  2.0000 -12.0000  0.0000 5044.7612 
 2 -14.0000  1.0000 -11.0000  0.0000 6709.6045 
 2 -14.0000  0.0000 -10.0000  0.0000 7950.4370 
 2 -13.0000  0.0000 -9.0000  0.0000 6627.5615 
 2 -12.0000  0.0000 -8.0000  0.0000 5893.9946 
 2 -11.0000  0.0000 -7.0000  0.0000 5165.0073 
 2 -10.0000  0.0000 -6.0000  0.0000 5332.4722
 2 -9.0000  0.0000 -5.0000  0.0000 5111.5605 
 2 -8.0000  0.0000 -4.0000  0.0000 5417.0942 
 2 -7.0000  0.0000 -3.0000  0.0000 5113.2646 
 2 -6.0000  0.0000 -2.0000  0.0000 5259.6074 
 2 -4.0000  0.0000 0.0000  0.0000 5329.1997 
 2 -3.0000  0.0000 1.0000  0.0000 5439.4546 
 2 -2.0000  0.0000 2.0000  0.0000 5610.0278 
 2 -1.0000  0.0000 3.0000  0.0000 4898.4199 
 2 0.0000  0.0000 4.0000  0.0000 5901.8843 
 2 1.0000  0.0000 5.0000  0.0000 5738.7275 
 2 2.0000  0.0000 6.0000  0.0000 5464.6875 
 2 3.0000  0.0000 7.0000  0.0000 3927.7463 
 2 4.0000  0.0000 8.0000  0.0000 4725.7681 
 2 5.0000  0.0000 9.0000  0.0000 5817.4502 
 2 6.0000  0.0000 10.0000  0.0000 5270.9648 
 2 7.0000  0.0000 11.0000  0.0000 5788.1206 
 2 8.0000  0.0000 12.0000  0.0000 6156.8706 
 2 9.0000  0.0000 13.0000  0.0000 5493.1782 
 2 10.0000  0.0000 14.0000  0.0000 5674.4302 
 2 11.0000  0.0000 15.0000  0.0000 6909.7485 
 2 12.0000  0.0000 16.0000  0.0000 7764.4395 
 2 13.0000  0.0000 16.0000  1.0000 7818.5815 
 2 14.0000  0.0000 16.0000  2.0000 4065.7197 
 2 15.0000  0.0000 16.0000  3.0000 3624.0496 
 2 16.0000  0.0000 16.0000  4.0000 3312.8442 
