X_Coord_m,Z_Coord_m,Std_Wenner_Apparent_Resistivity_Ohmm,PseudoDiode_Apparent_Resistivity_Ohmm,Relative_Error
-133.75,-6.25,314.085,315.25,0.003709
-131.25,-6.25,314.586,318.632,0.012861
-128.75,-6.25,315.023,309.63,0.017119
-126.25,-6.25,314.83,313.18,0.005241
-123.75,-6.25,314.611,320.816,0.019723
-121.25,-6.25,314.962,325.321,0.03289
-118.75,-6.25,314.343,330.644,0.051857
-116.25,-6.25,313.59,317.845,0.013569
-113.75,-6.25,313.528,324.823,0.036025
-111.25,-6.25,313.711,313.732,6.7e-05
-108.75,-6.25,313.593,318.215,0.014739
-106.25,-6.25,313.059,321.999,0.028557
-103.75,-6.25,312.639,303.17,0.030287
-101.25,-6.25,311.767,296.364,0.049405
-98.75,-6.25,310.524,315.952,0.01748
-96.25,-6.25,309.719,308.264,0.004698
-93.75,-6.25,308.588,326.585,0.05832
-91.25,-6.25,307.718,309.671,0.006347
-88.75,-6.25,307.321,304.204,0.010142
-86.25,-6.25,307.622,300.374,0.023561
-83.75,-6.25,307.757,303.368,0.014261
-81.25,-6.25,307.497,319.663,0.039565
-78.75,-6.25,306.903,282.722,0.07879
-76.25,-6.25,306.545,291.776,0.048179
-73.75,-6.25,305.558,307.145,0.005194
-71.25,-6.25,304.013,314.182,0.033449
-68.75,-6.25,302.723,313.522,0.035673
-66.25,-6.25,301.618,294.551,0.02343
-63.75,-6.25,299.951,302.418,0.008225
-61.25,-6.25,298.21,303.232,0.01684
-58.75,-6.25,296.233,288.635,0.025649
-56.25,-6.25,293.642,289.254,0.014943
-53.75,-6.25,291.139,262.089,0.099781
-51.25,-6.25,288.892,273.387,0.053671
-48.75,-6.25,286.257,305.124,0.065909
-46.25,-6.25,283.79,303.375,0.069012
-43.75,-6.25,281.287,291.916,0.037787
-41.25,-6.25,278.837,289.482,0.038176
-38.75,-6.25,275.871,276.174,0.001098
-36.25,-6.25,272.753,279.539,0.02488
-33.75,-6.25,269.581,262.039,0.027977
-31.25,-6.25,267.223,277.577,0.038747
-28.75,-6.25,265.463,266.161,0.002629
-26.25,-6.25,264.014,258.751,0.019935
-23.75,-6.25,262.862,267.952,0.019364
-21.25,-6.25,261.291,272.062,0.041222
-18.75,-6.25,258.623,258.304,0.001233
-16.25,-6.25,254.824,269.806,0.058794
-13.75,-6.25,250.328,250.621,0.00117
-11.25,-6.25,244.613,247.378,0.011304
-8.75,-6.25,238.713,220.711,0.075413
-6.25,-6.25,232.578,244.721,0.05221
-3.75,-6.25,227.051,229.756,0.011914
-1.25,-6.25,221.861,217.954,0.01761
1.25,-6.25,217.574,211.615,0.027388
3.75,-6.25,213.066,204.332,0.040992
6.25,-6.25,208.937,205.942,0.014334
8.75,-6.25,204.977,199.532,0.026564
11.25,-6.25,201.257,196.326,0.024501
13.75,-6.25,197.073,191.185,0.029877
16.25,-6.25,193.793,184.056,0.050244
18.75,-6.25,190.407,187.97,0.012799
21.25,-6.25,187.118,190.172,0.016321
23.75,-6.25,185.06,192.086,0.037966
26.25,-6.25,184.32,172.307,0.065175
28.75,-6.25,183.198,184.691,0.00815
31.25,-6.25,182.73,177.907,0.026394
33.75,-6.25,183.268,167.747,0.08469
36.25,-6.25,183.843,191.318,0.04066
38.75,-6.25,182.341,182.653,0.001711
41.25,-6.25,180.037,170.947,0.05049
43.75,-6.25,176.947,174.953,0.011269
46.25,-6.25,172.768,166.66,0.035354
48.75,-6.25,168.762,168.59,0.001019
51.25,-6.25,165.998,163.637,0.014223
53.75,-6.25,163.872,174.184,0.062927
56.25,-6.25,163.685,159.46,0.025812
58.75,-6.25,165.079,162.519,0.015508
61.25,-6.25,167.07,165.73,0.008021
63.75,-6.25,169.806,166.717,0.018191
66.25,-6.25,173.107,171.999,0.006401
68.75,-6.25,176.126,171.491,0.026316
71.25,-6.25,178.106,172.706,0.030319
73.75,-6.25,180.157,174.441,0.031728
76.25,-6.25,180.4,190.13,0.053936
78.75,-6.25,179.802,187.188,0.041079
81.25,-6.25,179.615,174.076,0.030838
83.75,-6.25,179.482,181.991,0.013979
86.25,-6.25,179.174,173.862,0.029647
88.75,-6.25,180.164,179.086,0.005983
91.25,-6.25,181.829,175.712,0.033641
93.75,-6.25,184.507,178.442,0.032871
96.25,-6.25,186.671,182.646,0.021562
98.75,-6.25,188.58,186,0.013681
